, LIBBY DAM, KOOTENAI RIV AT LEONIA, NF FLATHEAD R NR COLUMBIA FALL, MF FLATHEAD NR WEST GLACIER, DAM AT HUNGRY HORSE, FLATHEAD R AT COLUMBIA FALLS, CLARK FORK AT DEER LODGE, ROCK CREEK NR CLINTON, BLACKFOOT R NR BONNER, CLARK FORK AB MISSOULA, BITTERROOT R NR MISSOULA, CLARK FORK BELOW MISSOULA, ST. REGIS R. NR ST. REGIS, CLARK FORK AT ST REGIS    TB20, KERR DAM, NOXON RAPIDS DAM, CABINET GORGE DAM, PRIEST R NR PRIEST RIVER, ALBENI FALLS DAM, COEUR D'ALENE LAKE, SPOKANE RIVER AT SPOKANE, SPOKANE RIV AT LONGLAKE, ST MARIES R NR SANTA, COLUMBIAR @INTERNATL BOUNDAR, KETTLE RIVER AT LAURIER, GRAND COULEE DAM, CHIEF JOSEPH DAM, OKANOGAN RIVER NEAR TONASKET, METHOW R NEAR PATEROS, WELLS DAM, LAKE CHELAN DAM, ROCKY REACH DAM, ENTIAT R NR ARDENVOIR, WENATCHEE R AT PESHASTIN  TB20, WANAPUM DAM, PRIEST RAPIDS DAM, KEECHELUS LAKE, KACHESS DAM NEAR EASTON, YAKIMA RIVER AT EASTON, CLE ELUM LAKE NEAR ROSLYN, YAKIMA RIVER AT CLE ELUM, TEANAWAY RIVER BLW FORKS, YAKIMA RIVER AT UMTANUM, BUMPING LK DM NR GOOSE PRAIRIE, NACHES RIVER NEAR CLIFFDEL, RIMROCK LAKE NEAR RIMROCK, NACHES RIVER NEAR NACHES, YAKIMA RIVER NEAR PARKER, YAKIMA RIVER AT KIONA, ISLAND PARK 1SWIS.PARKDM&RES, FALL RIVER NR CHESTER, HENRYS FORK AT ST. ANTHONY, TETON RIVER NEAR ST. ANTHONY, HENRYS FORK NEAR REXBURG, SNKE R ON JACKSN LK AT DM TB20, SNAKE RIVER NR JACKSON, SNAKE RIVER NR ALPINE, PALISADES DAM, SNAKE RIVER NR HEISE, RIRIE DAM AND LAKE ON WILLOW C, SNAKE AB EAGLE ROCK NR ID FALL, SNAKE RIVER NR SHELLEY, SNAKE RIVER AT BLACKFOOT, SNAKE RIVER NEAR BLACKFOOT, PORTNEUF RIVER AT POCATELLO, AMERICAN FALLS RESERVOIR  TB12, SNAKE RIV AT MILNER, BRUNEAU RIVER NR HOT SPRINGS, SNAKE RIVER BELOW SWAN FALLS, BIG LOST R@HOW'L RNCH NR CHILL, BIG LOST R AT MACKAY, BIG WOOD RIVER AT HAILEY, MAGIC DAM OUTFLOW, LITL.WOODDM&RESNRCAREY, OWYHEE BELOW OWYHEE DAM, ANDERSON RANCH DAM, BOISE LUCKY PEAK DAM, BOISE RIVER AT GLENWOOD BRIDGE, BOISE RIVER NR PARMA, WARM SPRINGS DAM & RESERVOIR, AGENCY VLY DAM & BEULAH RSVR, BULLY CREEK DAM & RES     TB12, MALHEUR RIVER NR VALE, CASCADE DAM               TB12, DEADWOOD RESERVOIR NR LOWMAN, PAYETTE RIVER NEAR EMMETT, WEISER RIVER NR WEISER, SNAKE RIVER AT WEISER, BROWNLEE DAM, SALMON R AT WHITEBIRD, GRANDE RONDE RIVER AT TROY, SNAKE RIVER NR ANATONE, CLEARWATER R AT OROFINO, DWORSHAK DAM, CLEARWATER R AT SPALDING, LOWER GRANITE DAM, LITTLE GOOSE DAM, LOWER MONUMENTAL DAM, ICE HARBOR DAM, WALLA WALLA RIV NEAR TOUCHET, MCNARY DAM NEAR MCNARY, UMATILLA R NR GIBBON, UMATILLA R AT PENDLETON, MCKAY CR NR PILOTROCK, UMATILLA RIVER NEAR UMATILLA, NF JOHN DAY RIV AT MONUMENT, JOHN DAY RIVER AT SERVICE CK, JOHN DAY DAM, DESCHUTES R AT MOODY NR BIGGS, THE DALLES, KLICKITAT R NR PITT, HOOD R NR TUCKER BRIDGE   TB20, WHITE SALMON R NEAR UNDERWOOD, BONNEVILLE DAM
2010-06-07,22196.0,24029.0,10932.0,10208.0,14120.0,25582.0,838.0,2756.0,4656.0,9239.0,11586.0,21698.0,1285.0,26366.0,32089.0,56802.0,61805.0,7006.0,77500.0,16780.0,16623.36,17332.0,414.0,146476.0,11529.0,174738.0,103988.0,11490.0,6873.0,119995.0,5097.0,123222.0,1366.0,8915.0,129756.0,127725.0,669.0,661.0,337.0,2617.0,951.0,874.0,3196.0,980.0,2851.0,1360.0,4880.0,4638.0,5873.0,1579.0,5353.0,8247.0,5571.0,10039.0,15339.0,17546.0,20445.0,27288.0,11580.0,334.0,11208.0,9986.0,6565.0,5885.0,421.0,7942.0,230.0,2139.0,9640.0,3096.0,2521.0,2839.0,2789.0,698.0,2189.0,5129.0,4522.0,1331.0,1763.0,529.0,433.0,102.0,162.0,7850.0,1635.0,19003.0,7046.0,42430.0,49167.0,77300.0,18520.0,152209.0,50444.0,18051.0,53299.0,205508.0,205508.0,206016.0,206016.0,1882.0,321500.0,656.0,1703.0,671.0,2074.0,9415.0,13085.0,343760.0,9799.0,349315.0,3128.0,2591.0,1898.0,357861.0
2010-06-08,22093.0,28388.0,10568.0,10224.0,13676.0,25504.0,792.0,2836.0,4635.0,9515.0,11829.0,21787.0,1159.0,25862.0,32703.0,57901.0,62992.0,7599.0,72865.0,14168.0,16326.74,17312.0,364.0,153835.0,10591.0,180249.0,131250.0,11158.0,6142.0,147464.0,4287.0,152829.0,1292.0,9003.0,162020.0,161089.0,482.0,568.0,485.0,2455.0,1133.0,784.0,3092.0,961.0,2579.0,1398.0,4279.0,4197.0,5747.0,1386.0,4942.0,7961.0,5574.0,11441.0,13338.0,20709.0,23595.0,31751.0,17946.0,347.0,16151.0,14505.0,9606.0,8694.0,403.0,10009.0,230.0,2167.0,9907.0,2808.0,2321.0,2485.0,2843.0,565.0,1658.0,4513.0,5337.0,2488.0,2883.0,263.0,282.0,94.0,159.0,5265.0,1388.0,17951.0,5484.0,40206.0,46329.0,68980.0,16069.0,142452.0,47009.0,16514.0,56573.0,199025.0,199025.0,199498.0,199498.0,1504.0,356601.0,532.0,1431.0,569.0,1581.0,7255.0,11187.0,371954.0,9509.0,376333.0,3010.0,1944.0,1877.0,381243.0
2010-06-09,22426.0,32318.0,9606.0,9970.0,13002.0,23815.0,729.0,2758.0,4489.0,9220.0,10931.0,20206.0,1034.0,24387.0,31437.0,55551.0,60397.0,7332.0,70953.0,11587.0,12175.36,14176.0,318.0,159209.0,10142.0,182989.0,150000.0,10668.0,5877.0,166631.0,4393.0,172884.0,1414.0,9346.0,183071.0,182352.0,537.0,610.0,708.0,2884.0,1407.0,891.0,3397.0,1119.0,2648.0,1686.0,4209.0,4029.0,5431.0,1149.0,4413.0,6530.0,4992.0,11696.0,9689.0,18934.0,21390.0,29677.0,18568.0,327.0,22548.0,21288.0,16454.0,15234.0,376.0,14977.0,231.0,2018.0,9838.0,2170.0,1818.0,1987.0,2192.0,445.0,1330.0,4019.0,6228.0,3493.0,3954.0,193.0,243.0,86.0,157.0,4203.0,1240.0,16056.0,4324.0,38040.0,43237.0,58854.0,14532.0,129200.0,40939.0,14054.0,49801.0,179001.0,179001.0,179454.0,179454.0,1225.0,365647.0,467.0,1207.0,655.0,1303.0,5969.0,9066.0,383903.0,9361.0,389140.0,3246.0,1762.0,1940.0,395824.0
2010-06-10,25525.0,38417.0,10101.0,10581.0,14446.0,24415.0,942.0,2911.0,4387.0,9282.0,10813.0,20096.0,940.0,22936.0,30707.0,52151.0,56654.0,6928.0,68230.0,9854.0,9431.15,10689.0,295.0,162283.0,12572.0,185656.0,150000.0,10768.0,6297.0,167001.0,4554.0,174339.0,1333.0,10015.0,186837.0,186812.0,571.0,636.0,830.0,3147.0,1719.0,916.0,3866.0,1062.0,2624.0,1439.0,4332.0,4849.0,5350.0,1051.0,4395.0,6094.0,4999.0,10749.0,8022.0,17693.0,19988.0,27319.0,18511.0,314.0,23552.0,22630.0,19954.0,19496.0,364.0,21219.0,231.0,1894.0,9698.0,1852.0,1568.0,1816.0,1884.0,402.0,1158.0,3861.0,7161.0,4470.0,5050.0,172.0,222.0,77.0,154.0,4496.0,1248.0,15212.0,3853.0,36475.0,40709.0,55835.0,15475.0,120942.0,41519.0,14359.0,48796.0,169738.0,169738.0,170176.0,170176.0,1053.0,364482.0,471.0,1223.0,737.0,1132.0,5348.0,7802.0,381750.0,9212.0,387015.0,3499.0,1704.0,2141.0,394350.0
2010-06-11,25487.0,41250.0,9731.0,9366.0,12127.0,23095.0,812.0,2837.0,4283.0,9585.0,10681.0,20267.0,842.0,23266.0,30949.0,49225.0,53420.0,6512.0,62570.0,8851.0,8882.14,9666.0,234.0,156789.0,14147.0,182581.0,137500.0,12144.0,6055.0,157451.0,4230.0,166813.0,1109.0,9883.0,181859.0,182520.0,490.0,550.0,780.0,2820.0,1889.0,800.0,3860.0,977.0,2421.0,1363.0,3974.0,4655.0,5739.0,973.0,3944.0,5593.0,4697.0,10099.0,7353.0,16775.0,19238.0,26282.0,18461.0,297.0,22725.0,21837.0,19750.0,19576.0,341.0,22780.0,231.0,1804.0,9560.0,1627.0,1392.0,1742.0,1738.0,369.0,1058.0,3438.0,7147.0,4628.0,5537.0,151.0,207.0,69.0,151.0,3460.0,1108.0,14391.0,3333.0,35561.0,39265.0,54824.0,13675.0,114175.0,40573.0,13364.0,46197.0,160373.0,160373.0,160793.0,160793.0,910.0,358694.0,399.0,1087.0,633.0,1097.0,4746.0,7002.0,376056.0,8972.0,381253.0,3279.0,1481.0,2075.0,389052.0
2010-06-12,22148.0,40815.0,8769.0,8300.0,10143.0,20871.0,701.0,2546.0,4107.0,8980.0,9348.0,18328.0,764.0,21922.0,28537.0,47313.0,51303.0,6146.0,59103.0,8214.0,8714.59,9638.0,196.0,151070.0,12926.0,175178.0,100000.0,13117.0,5463.0,118914.0,3943.0,126960.0,1083.0,9381.0,142235.0,143687.0,412.0,458.0,715.0,2429.0,2033.0,662.0,3751.0,901.0,2234.0,1319.0,3611.0,4119.0,5712.0,906.0,3525.0,5031.0,4137.0,9380.0,6717.0,15177.0,17710.0,24716.0,18385.0,283.0,21977.0,21025.0,18858.0,18686.0,314.0,22111.0,231.0,1718.0,9361.0,1469.0,1269.0,1761.0,1715.0,347.0,933.0,3046.0,7075.0,4621.0,5478.0,130.0,197.0,61.0,149.0,2775.0,909.0,12838.0,2842.0,33386.0,36910.0,50405.0,11221.0,104406.0,34501.0,10963.0,40591.0,144997.0,144997.0,145400.0,145400.0,794.0,325636.0,341.0,880.0,550.0,906.0,4177.0,6268.0,349156.0,8731.0,355215.0,2890.0,1221.0,1898.0,364792.0
2010-06-13,19992.0,40161.0,8361.0,7620.0,9082.0,19553.0,666.0,2310.0,3893.0,8304.0,8068.0,16372.0,704.0,19651.0,26248.0,43735.0,47391.0,5828.0,54897.0,7432.0,8078.63,9109.0,188.0,146733.0,11605.0,168641.0,112500.0,12861.0,5089.0,128183.0,3863.0,132076.0,1210.0,9329.0,140890.0,140248.0,378.0,418.0,678.0,2258.0,2205.0,570.0,3714.0,866.0,2124.0,1320.0,3386.0,3706.0,5304.0,850.0,3113.0,4434.0,3752.0,8397.0,6189.0,13536.0,15783.0,22532.0,18214.0,269.0,21114.0,20161.0,18056.0,17889.0,283.0,21276.0,231.0,1636.0,9135.0,1387.0,1210.0,1640.0,1584.0,323.0,833.0,2699.0,7026.0,4614.0,5436.0,113.0,189.0,52.0,146.0,2419.0,780.0,11321.0,2478.0,31002.0,34200.0,46092.0,9512.0,90009.0,29023.0,9300.0,34862.0,124871.0,124871.0,125254.0,125254.0,707.0,278410.0,309.0,745.0,471.0,687.0,3704.0,5575.0,297826.0,8513.0,303767.0,2581.0,1055.0,1792.0,312790.0
2010-06-14,19108.0,37142.0,8353.0,7220.0,8641.0,18989.0,638.0,2169.0,3666.0,7826.0,7049.0,14875.0,653.0,17820.0,24877.0,40429.0,43764.0,5520.0,50801.0,6766.0,7445.38,8505.0,183.0,143710.0,10669.0,164080.0,150000.0,11610.0,4911.0,166762.0,3815.0,171712.0,1284.0,9732.0,180003.0,178579.0,361.0,404.0,656.0,2210.0,2398.0,507.0,3780.0,842.0,2064.0,1342.0,3409.0,3598.0,4911.0,796.0,2837.0,3971.0,3499.0,7334.0,5698.0,12546.0,14549.0,20846.0,17819.0,257.0,19725.0,18802.0,16902.0,16797.0,259.0,20324.0,232.0,1558.0,8927.0,1340.0,1182.0,1545.0,1440.0,306.0,755.0,2479.0,6984.0,4606.0,5395.0,105.0,185.0,44.0,144.0,2185.0,716.0,10150.0,2193.0,28960.0,31843.0,42784.0,8480.0,84319.0,25205.0,8226.0,30777.0,115096.0,115096.0,115461.0,115461.0,644.0,280774.0,286.0,653.0,410.0,563.0,3321.0,4984.0,289556.0,8303.0,293563.0,2421.0,937.0,1735.0,297995.0
2010-06-15,18808.0,36485.0,8511.0,6933.0,8392.0,18763.0,629.0,2075.0,3452.0,7469.0,6187.0,13656.0,608.0,16363.0,24112.0,38386.0,41510.0,5221.0,48018.0,6264.0,6631.6,7723.0,177.0,139123.0,9957.0,158138.0,150000.0,10803.0,4684.0,166273.0,3689.0,172742.0,1220.0,10021.0,184901.0,184961.0,342.0,384.0,632.0,2108.0,2591.0,453.0,3867.0,785.0,1997.0,1268.0,3684.0,3952.0,4779.0,772.0,2726.0,3804.0,3392.0,6538.0,5336.0,11814.0,13707.0,19692.0,17400.0,245.0,18102.0,17145.0,15298.0,15236.0,243.0,18964.0,232.0,1484.0,8748.0,1293.0,1151.0,1474.0,1342.0,290.0,726.0,2338.0,6840.0,4516.0,5368.0,102.0,181.0,36.0,141.0,2016.0,671.0,9160.0,1963.0,27351.0,29975.0,40059.0,7772.0,81276.0,22515.0,7429.0,27921.0,109197.0,109197.0,109543.0,109543.0,596.0,301233.0,269.0,582.0,361.0,536.0,2998.0,4501.0,312355.0,8097.0,316280.0,2276.0,848.0,1685.0,320296.0
2010-06-16,18485.0,34441.0,8545.0,6557.0,7990.0,18396.0,603.0,1981.0,3253.0,7101.0,5446.0,12547.0,569.0,15115.0,23527.0,37428.0,40430.0,4929.0,46360.0,5873.0,6188.69,7179.0,172.0,135753.0,9377.0,153383.0,150000.0,10329.0,4327.0,165204.0,3405.0,171311.0,1111.0,9796.0,183171.0,183249.0,312.0,344.0,607.0,1890.0,2773.0,408.0,3943.0,705.0,1892.0,1073.0,3332.0,3846.0,4938.0,738.0,2542.0,3539.0,3255.0,6014.0,5037.0,11303.0,13118.0,18835.0,16985.0,234.0,16900.0,15874.0,13841.0,13731.0,233.0,17399.0,232.0,1413.0,8589.0,1245.0,1119.0,1410.0,1256.0,276.0,706.0,2188.0,6638.0,4339.0,5200.0,99.0,177.0,27.0,139.0,1872.0,621.0,8177.0,1773.0,25827.0,28320.0,37597.0,7246.0,78065.0,20370.0,6798.0,25705.0,103770.0,103770.0,104097.0,104097.0,556.0,296166.0,254.0,521.0,320.0,696.0,2713.0,4090.0,309131.0,7894.0,313524.0,2121.0,764.0,1613.0,318776.0
2010-06-17,18610.0,33917.0,8385.0,6212.0,7682.0,17815.0,564.0,1879.0,3068.0,6713.0,4816.0,11529.0,543.0,13958.0,22694.0,36925.0,39916.0,4673.0,45465.0,5526.0,5853.49,6817.0,173.0,134231.0,8874.0,150327.0,150000.0,9806.0,3952.0,164333.0,3078.0,170001.0,1048.0,9192.0,181143.0,181227.0,296.0,318.0,586.0,1737.0,2848.0,372.0,3914.0,648.0,1752.0,1000.0,3016.0,3394.0,4896.0,690.0,2290.0,3088.0,3113.0,5388.0,4764.0,11062.0,12764.0,18198.0,16574.0,224.0,15942.0,14903.0,12768.0,12620.0,226.0,16027.0,232.0,1342.0,8426.0,1207.0,1096.0,1361.0,1170.0,265.0,692.0,2070.0,6442.0,4162.0,4909.0,86.0,171.0,19.0,136.0,1840.0,581.0,7225.0,1616.0,24193.0,26585.0,35335.0,6827.0,74856.0,18626.0,6277.0,23993.0,98849.0,98849.0,99157.0,99157.0,514.0,289229.0,242.0,464.0,282.0,569.0,2467.0,3720.0,301657.0,7690.0,305867.0,1999.0,716.0,1523.0,310876.0
2010-06-18,19546.0,31934.0,8336.0,6079.0,7879.0,17528.0,586.0,1861.0,2897.0,6409.0,4284.0,10693.0,517.0,12946.0,21933.0,36023.0,38979.0,4466.0,44256.0,5227.0,5563.71,6505.0,175.0,135422.0,8318.0,150606.0,143750.0,9184.0,3645.0,158539.0,3097.0,165436.0,1158.0,9122.0,177546.0,177893.0,310.0,356.0,588.0,1952.0,2873.0,340.0,3842.0,668.0,1727.0,1183.0,3066.0,3155.0,4583.0,668.0,2252.0,2936.0,3226.0,4824.0,4529.0,11315.0,12974.0,18030.0,16166.0,215.0,14887.0,13848.0,11747.0,11614.0,219.0,14952.0,232.0,1275.0,8274.0,1246.0,1145.0,1311.0,1111.0,264.0,696.0,2035.0,6249.0,3868.0,4648.0,83.0,167.0,10.0,133.0,1801.0,576.0,6764.0,1480.0,22805.0,24993.0,33328.0,6483.0,66563.0,17871.0,6366.0,25100.0,91663.0,91663.0,91954.0,91954.0,485.0,280948.0,230.0,421.0,256.0,450.0,2276.0,3420.0,293100.0,7468.0,297144.0,1908.0,715.0,1497.0,302081.0
2010-06-19,20726.0,30699.0,8402.0,5980.0,7882.0,17475.0,599.0,1845.0,2744.0,6210.0,3836.0,10047.0,485.0,12143.0,21627.0,35277.0,38205.0,4267.0,43073.0,4965.0,5312.01,6235.0,166.0,133067.0,7803.0,147934.0,125000.0,8601.0,3427.0,138042.0,3223.0,144724.0,1255.0,9900.0,157860.0,158576.0,314.0,390.0,577.0,2141.0,2899.0,311.0,3777.0,678.0,1732.0,1272.0,3148.0,3171.0,4346.0,649.0,2255.0,2872.0,3386.0,4590.0,4382.0,11776.0,13454.0,18328.0,15764.0,206.0,13974.0,12896.0,10717.0,10578.0,211.0,13872.0,233.0,1212.0,8131.0,1320.0,1226.0,1248.0,1037.0,267.0,692.0,1970.0,6055.0,3452.0,4236.0,82.0,164.0,2.0,132.0,1716.0,552.0,6533.0,1358.0,21864.0,23921.0,31576.0,6188.0,62487.0,18024.0,6486.0,25315.0,87802.0,87802.0,88076.0,88076.0,459.0,264628.0,220.0,385.0,235.0,358.0,2115.0,3171.0,278190.0,7233.0,282333.0,1869.0,693.0,1534.0,287927.0
2010-06-20,20594.0,28347.0,8371.0,5892.0,7672.0,17355.0,596.0,1791.0,2636.0,6029.0,3478.0,9507.0,460.0,11479.0,21413.0,34458.0,37354.0,4073.0,41921.0,4730.0,5088.26,5996.0,161.0,130585.0,7338.0,144956.0,127500.0,8208.0,3297.0,138867.0,3254.0,144319.0,1294.0,10804.0,155920.0,155788.0,305.0,397.0,560.0,2177.0,2908.0,284.0,3707.0,667.0,1735.0,1270.0,3120.0,3071.0,4281.0,631.0,2156.0,2733.0,3370.0,4565.0,4246.0,12132.0,13800.0,18600.0,15500.0,196.0,13412.0,12277.0,9937.0,9756.0,202.0,12898.0,233.0,1155.0,7997.0,1335.0,1253.0,1195.0,975.0,265.0,676.0,1891.0,5862.0,3034.0,3794.0,79.0,160.0,0.0,128.0,1705.0,526.0,6264.0,1255.0,20893.0,22893.0,29997.0,5924.0,59784.0,17995.0,6320.0,25328.0,85112.0,85112.0,85369.0,85369.0,438.0,247219.0,211.0,352.0,216.0,284.0,1955.0,2952.0,258191.0,7014.0,261919.0,1894.0,683.0,1560.0,267152.0
2010-06-21,20582.0,23765.0,8263.0,5759.0,7368.0,17115.0,600.0,1739.0,2562.0,5867.0,3262.0,9129.0,437.0,10946.0,21107.0,33568.0,36423.0,3883.0,40690.0,4516.0,4885.25,5779.0,157.0,125763.0,6916.0,140155.0,135000.0,7967.0,3170.0,146227.0,3207.0,151832.0,1284.0,11433.0,163798.0,163513.0,295.0,388.0,541.0,2203.0,2913.0,257.0,3648.0,642.0,1658.0,1210.0,2959.0,2882.0,4204.0,616.0,2121.0,2659.0,3342.0,4501.0,4091.0,12394.0,14048.0,18730.0,18509.0,187.0,13608.0,12264.0,9531.0,9281.0,191.0,12214.0,233.0,1097.0,7868.0,1315.0,1248.0,1146.0,920.0,260.0,657.0,1818.0,5674.0,2617.0,3360.0,76.0,157.0,0.0,126.0,1635.0,493.0,5975.0,1165.0,19903.0,21845.0,28579.0,5681.0,58911.0,17762.0,6151.0,25159.0,84069.0,84069.0,84309.0,84309.0,421.0,248408.0,202.0,326.0,201.0,223.0,1820.0,2749.0,256291.0,6829.0,259226.0,1883.0,701.0,1565.0,263128.0
2010-06-22,20612.0,19454.0,8140.0,5671.0,7039.0,16850.0,601.0,1693.0,2515.0,5743.0,3163.0,8906.0,418.0,10596.0,20707.0,32754.0,35572.0,3696.0,39567.0,4322.0,4700.6,5582.0,154.0,119338.0,6534.0,133229.0,132420.0,7787.0,3022.0,143992.0,3128.0,150338.0,1260.0,11747.0,163790.0,163934.0,290.0,382.0,525.0,2245.0,2919.0,233.0,3620.0,618.0,1594.0,1169.0,2810.0,2652.0,4037.0,602.0,2013.0,2517.0,3270.0,4431.0,3995.0,12572.0,14167.0,18742.0,19476.0,179.0,16401.0,14918.0,11086.0,10446.0,177.0,12385.0,233.0,1043.0,7743.0,1288.0,1235.0,1100.0,872.0,251.0,637.0,1736.0,5486.0,2200.0,2930.0,73.0,154.0,0.0,122.0,1516.0,463.0,5700.0,1080.0,18939.0,20826.0,27218.0,5455.0,56337.0,17128.0,6030.0,24579.0,80916.0,80916.0,81139.0,81139.0,411.0,251678.0,194.0,305.0,190.0,172.0,1705.0,2582.0,260198.0,6657.0,263057.0,1850.0,703.0,1551.0,267139.0
2010-06-23,20569.0,19079.0,8079.0,5541.0,6699.0,16704.0,590.0,1635.0,2468.0,5614.0,3069.0,8683.0,401.0,10341.0,20406.0,32031.0,34819.0,3513.0,38495.0,4143.0,4530.71,5402.0,150.0,114476.0,6186.0,127301.0,121786.0,7549.0,2879.0,132983.0,3077.0,139418.0,1224.0,11916.0,153605.0,154062.0,286.0,379.0,514.0,2140.0,2932.0,210.0,3601.0,595.0,1539.0,1128.0,2679.0,2473.0,3823.0,586.0,1947.0,2385.0,3139.0,4268.0,3827.0,12644.0,14158.0,18590.0,19375.0,169.0,16973.0,15729.0,12929.0,12533.0,162.0,14390.0,233.0,994.0,7625.0,1241.0,1202.0,1049.0,816.0,235.0,614.0,1589.0,5297.0,1784.0,2496.0,69.0,151.0,0.0,122.0,1396.0,433.0,5410.0,997.0,17978.0,19825.0,25866.0,5240.0,53711.0,16495.0,5837.0,23942.0,77652.0,77652.0,77859.0,77859.0,398.0,244119.0,186.0,285.0,177.0,153.0,1582.0,2417.0,253986.0,6486.0,257033.0,1825.0,701.0,1535.0,261899.0
2010-06-24,20731.0,18807.0,7914.0,5433.0,6401.0,16363.0,572.0,1549.0,2409.0,5431.0,2910.0,8341.0,391.0,10023.0,19985.0,31401.0,34164.0,3337.0,37610.0,3976.0,4372.5,5234.0,150.0,112336.0,5872.0,124158.0,116643.0,7224.0,2724.0,127273.0,2970.0,133305.0,1164.0,11957.0,146874.0,147118.0,279.0,374.0,504.0,2047.0,2942.0,188.0,3582.0,565.0,1484.0,1082.0,2541.0,2309.0,3628.0,574.0,1875.0,2295.0,3020.0,4087.0,3552.0,12539.0,14019.0,18332.0,19135.0,163.0,16683.0,15451.0,12944.0,12714.0,150.0,15306.0,234.0,947.0,7510.0,1199.0,1174.0,1006.0,768.0,229.0,598.0,1474.0,5116.0,1476.0,2113.0,68.0,148.0,0.0,118.0,1396.0,409.0,5131.0,932.0,17035.0,18834.0,24586.0,5041.0,51118.0,15621.0,5665.0,23118.0,74236.0,74236.0,74427.0,74427.0,385.0,231065.0,179.0,269.0,169.0,134.0,1493.0,2278.0,240459.0,6305.0,243405.0,1772.0,708.0,1510.0,248458.0
2010-06-25,20719.0,16966.0,7821.0,5434.0,6329.0,16282.0,577.0,1492.0,2347.0,5254.0,2772.0,8026.0,373.0,9624.0,19684.0,30606.0,33332.0,3176.0,36461.0,3821.0,4225.35,5077.0,147.0,110304.0,5619.0,121881.0,111688.0,6874.0,2547.0,121764.0,2839.0,127570.0,1104.0,11852.0,140903.0,141148.0,276.0,371.0,495.0,1976.0,2952.0,165.0,3562.0,535.0,1438.0,1016.0,2423.0,2153.0,3462.0,569.0,1773.0,2185.0,2948.0,3897.0,3331.0,12102.0,13577.0,17831.0,18733.0,157.0,16244.0,15002.0,12539.0,12339.0,142.0,15074.0,234.0,900.0,7397.0,1170.0,1157.0,967.0,723.0,222.0,600.0,1404.0,4933.0,1294.0,1885.0,68.0,144.0,0.0,115.0,1348.0,388.0,4886.0,877.0,16254.0,17973.0,23441.0,4853.0,48717.0,15122.0,5767.0,22488.0,71205.0,71205.0,71379.0,71379.0,372.0,221365.0,173.0,255.0,159.0,117.0,1403.0,2158.0,230006.0,6083.0,232617.0,1708.0,705.0,1480.0,237362.0
2010-06-26,20080.0,16593.0,7493.0,5221.0,5914.0,15818.0,562.0,1446.0,2295.0,5129.0,2723.0,7852.0,351.0,9330.0,19372.0,29402.0,32055.0,3020.0,34895.0,3676.0,4087.61,4930.0,137.0,107861.0,5373.0,118835.0,110000.0,6514.0,2397.0,119263.0,2732.0,124539.0,1048.0,11684.0,137083.0,137174.0,271.0,366.0,485.0,1939.0,2961.0,151.0,3546.0,509.0,1383.0,982.0,2369.0,2065.0,3311.0,557.0,1691.0,2072.0,2876.0,3684.0,3169.0,11633.0,13084.0,17208.0,18117.0,150.0,15576.0,14348.0,11980.0,11810.0,136.0,14572.0,234.0,854.0,7285.0,1133.0,1131.0,932.0,683.0,217.0,601.0,1350.0,4751.0,1127.0,1687.0,65.0,141.0,0.0,112.0,1288.0,369.0,4653.0,826.0,15624.0,17292.0,22391.0,4671.0,46616.0,14605.0,5496.0,22066.0,68683.0,68683.0,68841.0,68841.0,358.0,213017.0,166.0,242.0,152.0,101.0,1326.0,2040.0,220992.0,5857.0,223317.0,1651.0,703.0,1448.0,227866.0
2010-06-27,19378.0,14542.0,7032.0,4996.0,5518.0,15090.0,540.0,1383.0,2238.0,4973.0,2737.0,7710.0,339.0,9148.0,18565.0,27843.0,30382.0,2868.0,33006.0,3539.0,3957.14,4791.0,134.0,106127.0,5194.0,117012.0,108750.0,6152.0,2281.0,117784.0,2677.0,123165.0,1019.0,11510.0,135570.0,135669.0,259.0,354.0,476.0,1885.0,2973.0,141.0,3540.0,484.0,1330.0,921.0,2320.0,2014.0,3210.0,547.0,1590.0,1957.0,2801.0,3498.0,3009.0,11140.0,12552.0,16551.0,17456.0,143.0,14695.0,13459.0,11158.0,11026.0,129.0,13864.0,234.0,816.0,7182.0,1126.0,1136.0,897.0,656.0,214.0,599.0,1329.0,4568.0,1091.0,1597.0,62.0,138.0,0.0,110.0,1191.0,351.0,4425.0,770.0,15030.0,16657.0,21377.0,4498.0,44706.0,13605.0,5206.0,21121.0,65827.0,65827.0,65969.0,65969.0,344.0,207624.0,161.0,232.0,146.0,84.0,1255.0,1936.0,214747.0,5623.0,216716.0,1598.0,669.0,1416.0,220918.0
