, KOOTENAI - LIBBY DAM, KOOTENAI - AT LEONIA, NF FLATHEAD - NEAR COLUMBIA FALLS, MF FLATHEAD - NEAR WEST GLACIER, SF FLATHEAD - HUNGRY HORSE DAM, FLATHEAD - AT COLUMBIA FALLS, CLARK FORK - AT DEER LODGE, CLARK FORK - NEAR DRUMMOND, ROCK CREEK - NEAR CLINTON, BLACKFOOT - NEAR BONNER, CLARK FORK - ABOVE MISSOULA, BITTERROOT - NEAR MISSOULA, CLARK FORK - BELOW MISSOULA, ST. REGIS - NEAR ST. REGIS, CLARK FORK - AT ST REGIS, FLATHEAD - KERR DAM, CLARK FORK - NOXON RAPIDS DAM, CLARK FORK - CABINET GORGE DAM, PRIEST - NEAR PRIEST RIVER, PEND OREILLE - ALBENI FALLS DAM, COEUR D'ALENE - COEUR D'ALENE LAKE, SPOKANE - AT SPOKANE, SPOKANE - AT LONGLAKE, ST MARIES - NEAR SANTA, COLUMBIA - AT INTERNATIONAL BOUNDRY, KETTLE - AT LAURIER, COLUMBIA - GRAND COULEE DAM, COLUMBIA - CHIEF JOSEPH DAM, OKANOGAN - NEAR TONASKET, METHOW - NEAR PATEROS, COLUMBIA - WELLS DAM, CHELAN - LAKE CHELAN DAM, COLUMBIA - ROCKY REACH DAM, ENTIAT - NEAR ARDENVOIR, WENATCHEE - AT PESHASTIN, COLUMBIA - WANAPUM DAM, COLUMBIA - PRIEST RAPIDS DAM, YAKIMA - KEECHELUS DAM, KACHESS - KACHESS DAM NEAR EASTON, YAKIMA - AT EASTON, CLE ELUM - CLE ELUM LAKE, TEANAWAY - BELOW FORKS, YAKIMA - AT UMTANUM, BUMPING - BUMPING LAKE DAM NEAR GOOSE PRAIRIE, NACHES - NEAR CLIFFDEL, TIETON - RIMROCK DAM, NACHES - NEAR NACHES, YAKIMA - NEAR PARKER, YAKIMA - AT KIONA, HENRY'S FORK - ISLAND PARK DAM, FALLS - NR CHESTER, HENRY'S FORK - AT ST. ANTHONY, TETON - NEAR ST. ANTHONY, HENRYS FORK - AT REXBURG, SNAKE - JACKSON LAKE AT DAM, SNAKE - NEAR JACKSON, SNAKE - NEAR ALPINE, SF SNAKE - PALISADES DAM, SNAKE - NEAR HEISE, WILLOW CREEK - RIRIE DAM, SNAKE - ABOVE EAGLE ROCK NEAR IDAHO FALLS, SNAKE - NEAR SHELLEY, SNAKE - AT BLACKFOOT, SNAKE - NEAR BLACKFOOT, PORTNEUF - AT POCATELLO, SNAKE - AMERICAN FALLS RESERVOIR, SNAKE - AT MILNER, BRUNEAU - NEAR HOT SPRINGS, SNAKE - BELOW SWAN FALLS, BIG LOST - AT HOWELL RANCH NEAR CHILLY, BIG LOST - AT MACKAY, BIG WOOD - AT HAILEY, BIG WOOD - MAGIC DAM, LITTLE WOOD - LITTLE WOOD DAM, OWYHEE - OWYHEE DAM, SF BOISE - ANDERSON RANCH DAM, BOISE - LUCKY PEAK DAM, BOISE - AT GLENWOOD BRIDGE, BOISE - NEAR PARMA, MALHEUR - WARM SPRINGS DAM, MALHEUR - AGENCY VALLEY DAM, BULLY CREEK - BULLY CR DAM, MALHEUR - NEAR VALE, NF PAYETTE - CASCADE DAM, DEADWOOD - DEADWOOD RESERVOIR, PAYETTE - NEAR EMMETT, WEISER - NR WEISER, SNAKE - AT WEISER, SNAKE - BROWNLEE DAM, SALMON - AT WHITEBIRD, GRANDE RONDE - AT TROY, SNAKE -  NEAR ANATONE, CLEARWATER - AT OROFINO, CLEARWATER - DWORSHAK DAM, CLEARWATER - AT SPALDING, SNAKE - LOWER GRANITE DAM, SNAKE - LITTLE GOOSE DAM, SNAKE - LOWER MONUMENTAL DAM, SNAKE - ICE HARBOR DAM, WALLA WALLA - NEAR TOUCHET, COLUMBIA - MCNARY DAM, UMATILLA - NEAR GIBBON, UMATILLA - AT PENDLETON, MCKAY CREEK - NEAR PILOTROCK, UMATILLA - NEAR UMATILLA, NF JOHN DAY - AT MONUMENT, JOHN DAY - AT SERVICE CK, COLUMBIA - JOHN DAY DAM, DESCHUTES - AT MOODY NR BIGGS, COLUMBIA - THE DALLES DAM, KLICKITAT - NEAR PITT, HOOD - AT TUCKER BRIDGE, WHITE SALMON - NEAR UNDERWOOD, COLUMBIA - BONNEVILLE DAM
2010-11-09,7905.0,6245.0,2182.0,2425.0,3525.0,5540.0,298.0,690.0,210.0,540.0,1678.0,1278.0,2725.0,120.0,3188.0,6280.0,10412.0,11430.0,2058.0,13255.0,2355.0,2588.0,3322.0,142.0,58758.0,1022.0,63528.0,88125.0,1298.0,605.0,87498.0,1512.0,87045.0,188.0,2292.0,84595.0,82992.0,350.0,302.0,268.0,718.0,125.0,1032.0,312.0,600.0,245.0,892.0,2305.0,3700.0,412.0,542.0,1180.0,590.0,1538.0,420.0,1602.0,1985.0,3162.0,1250.0,50.0,2918.0,2762.0,2522.0,2398.0,212.0,5032.0,740.0,130.0,9060.0,120.0,212.0,242.0,238.0,62.0,448.0,415.0,488.0,270.0,998.0,80.0,80.0,10.0,198.0,685.0,148.0,1662.0,320.0,12708.0,13380.0,6408.0,1152.0,16292.0,3168.0,4278.0,4945.0,20795.0,20795.0,20888.0,20888.0,170.0,111315.0,70.0,105.0,20.0,320.0,312.0,598.0,116180.0,5660.0,112308.0,932.0,712.0,798.0,106238.0
2010-11-10,6138.0,6085.0,1830.0,2270.0,2480.0,5120.0,290.0,682.0,200.0,532.0,1665.0,1332.0,2765.0,110.0,3220.0,6330.0,10932.0,11995.0,1990.0,13912.0,2160.0,2580.0,3335.0,102.0,58532.0,952.0,63095.0,85000.0,1318.0,605.0,86870.0,1318.0,89575.0,178.0,2098.0,91912.0,92020.0,322.0,265.0,278.0,600.0,135.0,1030.0,242.0,522.0,230.0,790.0,2112.0,3668.0,408.0,522.0,1050.0,578.0,1510.0,435.0,1565.0,1942.0,3150.0,1205.0,50.0,2990.0,2895.0,2685.0,2540.0,220.0,5135.0,740.0,122.0,9060.0,120.0,205.0,225.0,230.0,58.0,380.0,328.0,475.0,270.0,982.0,80.0,80.0,10.0,188.0,438.0,125.0,1460.0,232.0,12615.0,13945.0,7038.0,1102.0,17068.0,2965.0,2248.0,4905.0,21685.0,21685.0,21782.0,21782.0,232.0,114895.0,162.0,198.0,108.0,332.0,432.0,600.0,115960.0,5648.0,119045.0,972.0,940.0,852.0,120285.0
2010-11-11,5470.0,10265.0,1678.0,2165.0,2258.0,4818.0,290.0,680.0,200.0,530.0,1645.0,1238.0,2658.0,110.0,3210.0,5872.0,11608.0,12748.0,1842.0,13970.0,1778.0,2572.0,3325.0,95.0,60225.0,905.0,63960.0,85000.0,1285.0,595.0,86882.0,1215.0,89525.0,170.0,1975.0,91518.0,91525.0,290.0,238.0,280.0,522.0,120.0,1020.0,212.0,475.0,218.0,725.0,2030.0,3515.0,400.0,515.0,1012.0,552.0,1420.0,430.0,1520.0,1888.0,3040.0,1200.0,50.0,2905.0,2828.0,2732.0,2618.0,230.0,5265.0,740.0,120.0,8850.0,112.0,200.0,220.0,212.0,50.0,348.0,315.0,465.0,270.0,980.0,90.0,80.0,10.0,180.0,400.0,120.0,1330.0,245.0,12360.0,13638.0,7028.0,1228.0,17608.0,2730.0,1480.0,4650.0,22120.0,22120.0,22220.0,22220.0,375.0,117695.0,160.0,240.0,165.0,412.0,532.0,805.0,121520.0,5632.0,125272.0,968.0,980.0,802.0,128182.0
2010-11-12,5265.0,10118.0,1610.0,2068.0,2152.0,4635.0,290.0,670.0,200.0,530.0,1632.0,1162.0,2572.0,105.0,3102.0,5555.0,11585.0,12728.0,1695.0,13700.0,1552.0,2562.0,3315.0,90.0,60842.0,865.0,65188.0,85000.0,1260.0,590.0,86860.0,1185.0,89495.0,158.0,1915.0,91420.0,91422.0,275.0,225.0,278.0,478.0,120.0,1008.0,195.0,445.0,212.0,678.0,1965.0,3362.0,400.0,500.0,972.0,540.0,1358.0,428.0,1500.0,1862.0,2985.0,1200.0,50.0,2812.0,2738.0,2670.0,2560.0,222.0,5275.0,740.0,120.0,8718.0,110.0,200.0,215.0,200.0,50.0,340.0,310.0,455.0,270.0,980.0,88.0,80.0,10.0,170.0,385.0,120.0,1288.0,240.0,12135.0,13408.0,6828.0,1052.0,17315.0,2578.0,1012.0,4478.0,21780.0,21780.0,21882.0,21882.0,282.0,117182.0,115.0,225.0,58.0,480.0,448.0,802.0,121282.0,5620.0,125025.0,930.0,680.0,722.0,127610.0
2010-11-13,5160.0,10005.0,1550.0,1980.0,2068.0,4480.0,290.0,670.0,200.0,525.0,1625.0,1108.0,2510.0,100.0,3025.0,5362.0,11422.0,12555.0,1552.0,13548.0,1435.0,2560.0,3305.0,95.0,61100.0,825.0,65400.0,85000.0,1242.0,588.0,86835.0,1150.0,89455.0,150.0,1860.0,91330.0,91335.0,250.0,205.0,280.0,432.0,112.0,990.0,180.0,428.0,198.0,652.0,1915.0,3252.0,400.0,488.0,925.0,530.0,1305.0,420.0,1488.0,1845.0,2955.0,1200.0,50.0,2748.0,2672.0,2608.0,2490.0,220.0,5210.0,740.0,120.0,8638.0,110.0,200.0,210.0,190.0,50.0,312.0,308.0,450.0,270.0,975.0,80.0,80.0,10.0,170.0,375.0,115.0,1265.0,240.0,11902.0,13045.0,6618.0,970.0,16898.0,2460.0,950.0,4355.0,21248.0,21248.0,21348.0,21348.0,222.0,116490.0,98.0,185.0,30.0,465.0,385.0,715.0,120588.0,5615.0,124328.0,915.0,592.0,718.0,126695.0
2010-11-14,5095.0,9925.0,1498.0,1890.0,1985.0,4330.0,290.0,670.0,200.0,520.0,1620.0,1058.0,2458.0,100.0,2962.0,5200.0,11285.0,12408.0,1408.0,13345.0,1360.0,2550.0,3295.0,88.0,60852.0,795.0,65185.0,83125.0,1225.0,580.0,85295.0,1118.0,88265.0,142.0,1795.0,90475.0,90578.0,228.0,188.0,278.0,385.0,108.0,980.0,165.0,415.0,198.0,632.0,1878.0,3168.0,390.0,475.0,888.0,520.0,1255.0,420.0,1475.0,1832.0,2930.0,1200.0,50.0,2695.0,2622.0,2565.0,2442.0,220.0,5142.0,740.0,120.0,8560.0,110.0,200.0,210.0,190.0,50.0,320.0,300.0,445.0,270.0,970.0,80.0,75.0,10.0,160.0,360.0,110.0,1248.0,225.0,11762.0,12788.0,6430.0,1008.0,16675.0,2355.0,895.0,4240.0,20918.0,20918.0,21018.0,21018.0,190.0,115832.0,90.0,158.0,30.0,415.0,362.0,672.0,119852.0,5610.0,123575.0,900.0,525.0,702.0,125830.0
2010-11-15,5028.0,9862.0,1445.0,1810.0,1910.0,4190.0,282.0,665.0,200.0,520.0,1610.0,1008.0,2408.0,100.0,2908.0,5042.0,11158.0,12275.0,1265.0,13090.0,1305.0,2542.0,3285.0,80.0,60820.0,758.0,64980.0,81875.0,1200.0,572.0,83318.0,1085.0,85630.0,140.0,1740.0,87208.0,87220.0,210.0,172.0,270.0,345.0,100.0,970.0,155.0,405.0,190.0,615.0,1848.0,3105.0,390.0,470.0,885.0,510.0,1225.0,420.0,1465.0,1818.0,2910.0,1200.0,50.0,2642.0,2580.0,2532.0,2405.0,220.0,5088.0,740.0,120.0,8480.0,110.0,200.0,210.0,185.0,50.0,308.0,300.0,440.0,270.0,960.0,80.0,70.0,10.0,160.0,362.0,110.0,1235.0,212.0,11635.0,12595.0,6260.0,1040.0,16518.0,2275.0,902.0,4150.0,20670.0,20670.0,20772.0,20772.0,172.0,113235.0,90.0,148.0,30.0,385.0,360.0,660.0,117700.0,5610.0,121532.0,882.0,485.0,695.0,123925.0
2010-11-16,4960.0,11080.0,1395.0,1740.0,1835.0,4060.0,280.0,660.0,200.0,520.0,1600.0,962.0,2355.0,100.0,2855.0,4900.0,11055.0,12162.0,1148.0,12852.0,1255.0,2565.0,3285.0,80.0,61905.0,725.0,65938.0,85000.0,1182.0,570.0,86770.0,1055.0,89325.0,140.0,1688.0,90798.0,90692.0,195.0,158.0,270.0,318.0,92.0,958.0,145.0,395.0,182.0,600.0,1822.0,3052.0,390.0,470.0,900.0,500.0,1220.0,415.0,1455.0,1805.0,2888.0,1200.0,50.0,2612.0,2550.0,2505.0,2372.0,220.0,5045.0,740.0,120.0,8400.0,110.0,200.0,205.0,180.0,50.0,300.0,300.0,438.0,270.0,952.0,80.0,70.0,10.0,150.0,365.0,110.0,1225.0,200.0,11520.0,12428.0,6108.0,1038.0,16360.0,2208.0,950.0,4082.0,20440.0,20440.0,20545.0,20545.0,162.0,112268.0,80.0,138.0,30.0,365.0,352.0,660.0,115790.0,5608.0,119415.0,865.0,455.0,688.0,121422.0
2010-11-17,4898.0,15782.0,1345.0,1668.0,1768.0,3935.0,280.0,660.0,200.0,520.0,1590.0,928.0,2315.0,100.0,2805.0,4762.0,10962.0,12060.0,1115.0,12760.0,1215.0,2595.0,3340.0,90.0,59822.0,698.0,64628.0,85000.0,1165.0,560.0,86745.0,1030.0,89355.0,140.0,1638.0,91005.0,91008.0,178.0,148.0,268.0,298.0,90.0,945.0,135.0,388.0,180.0,582.0,1798.0,3005.0,390.0,462.0,910.0,490.0,1228.0,410.0,1445.0,1792.0,2860.0,1200.0,50.0,2560.0,2510.0,2472.0,2345.0,220.0,5015.0,740.0,120.0,8325.0,110.0,200.0,200.0,170.0,50.0,300.0,295.0,430.0,270.0,945.0,78.0,70.0,10.0,145.0,355.0,102.0,1212.0,190.0,11410.0,12308.0,5970.0,988.0,16175.0,2145.0,1010.0,4018.0,20190.0,20190.0,20292.0,20292.0,152.0,114462.0,78.0,130.0,28.0,352.0,342.0,650.0,118208.0,5600.0,121788.0,848.0,430.0,680.0,123652.0
2010-11-18,4835.0,15758.0,1305.0,1602.0,1705.0,3818.0,280.0,652.0,200.0,512.0,1582.0,895.0,2275.0,100.0,2765.0,4635.0,10890.0,11972.0,1098.0,12672.0,1182.0,2540.0,3290.0,90.0,59015.0,670.0,63258.0,84250.0,1152.0,560.0,86115.0,985.0,88865.0,132.0,1602.0,90638.0,90680.0,170.0,140.0,260.0,298.0,85.0,932.0,130.0,380.0,182.0,565.0,1770.0,2962.0,390.0,455.0,885.0,482.0,1230.0,410.0,1435.0,1778.0,2840.0,1200.0,50.0,2502.0,2450.0,2405.0,2282.0,220.0,4970.0,740.0,112.0,8260.0,110.0,200.0,200.0,162.0,50.0,298.0,290.0,422.0,270.0,938.0,70.0,70.0,10.0,140.0,352.0,100.0,1200.0,180.0,11300.0,12205.0,5842.0,935.0,15982.0,2085.0,1085.0,3958.0,19940.0,19940.0,20040.0,20040.0,150.0,114278.0,70.0,120.0,20.0,338.0,330.0,640.0,118200.0,5600.0,121820.0,835.0,410.0,675.0,123800.0
2010-11-19,4775.0,15735.0,1265.0,1540.0,1645.0,3710.0,280.0,650.0,200.0,510.0,1575.0,868.0,2245.0,100.0,2732.0,4515.0,10935.0,12018.0,1088.0,12865.0,1192.0,2525.0,3255.0,98.0,58848.0,645.0,62930.0,83000.0,1140.0,560.0,84708.0,920.0,87318.0,112.0,1665.0,89065.0,89110.0,185.0,150.0,275.0,310.0,102.0,932.0,128.0,378.0,210.0,558.0,1750.0,2928.0,390.0,442.0,830.0,480.0,1202.0,410.0,1428.0,1768.0,2822.0,1200.0,50.0,2435.0,2390.0,2338.0,2215.0,220.0,4902.0,740.0,118.0,8205.0,110.0,190.0,200.0,158.0,50.0,315.0,290.0,420.0,260.0,930.0,78.0,70.0,10.0,130.0,398.0,100.0,1200.0,182.0,11208.0,12115.0,5725.0,918.0,15825.0,2028.0,1292.0,3900.0,19722.0,19722.0,19825.0,19825.0,168.0,113118.0,95.0,140.0,25.0,328.0,330.0,640.0,117258.0,5600.0,120898.0,830.0,500.0,710.0,122958.0
2010-11-20,4720.0,15718.0,1225.0,1480.0,1585.0,3878.0,278.0,650.0,200.0,510.0,1565.0,845.0,2220.0,100.0,2700.0,4460.0,11560.0,12692.0,1080.0,13492.0,1258.0,2580.0,3292.0,112.0,58975.0,620.0,62982.0,83000.0,1122.0,550.0,84695.0,945.0,87282.0,125.0,1798.0,89058.0,89052.0,215.0,188.0,305.0,340.0,178.0,968.0,138.0,370.0,215.0,550.0,1760.0,2905.0,385.0,438.0,825.0,472.0,1162.0,410.0,1418.0,1758.0,2805.0,1225.0,50.0,2332.0,2295.0,2250.0,2135.0,220.0,4830.0,725.0,120.0,8155.0,110.0,190.0,200.0,150.0,50.0,348.0,290.0,418.0,260.0,930.0,80.0,70.0,10.0,122.0,395.0,100.0,1208.0,185.0,11162.0,12072.0,5618.0,895.0,15700.0,2005.0,1405.0,3862.0,19562.0,19562.0,19665.0,19665.0,220.0,111852.0,130.0,170.0,58.0,335.0,330.0,640.0,115840.0,5600.0,119418.0,840.0,802.0,802.0,121680.0
2010-11-21,4662.0,15705.0,1195.0,1422.0,1530.0,3815.0,270.0,642.0,200.0,510.0,1558.0,840.0,2208.0,100.0,2680.0,4558.0,11705.0,12858.0,1078.0,13982.0,1382.0,2650.0,3358.0,162.0,59450.0,600.0,63402.0,83000.0,1105.0,545.0,84670.0,955.0,87270.0,130.0,1868.0,89135.0,89132.0,225.0,200.0,315.0,320.0,175.0,1035.0,125.0,370.0,210.0,540.0,1810.0,2902.0,380.0,430.0,810.0,470.0,1148.0,400.0,1410.0,1748.0,2788.0,1288.0,50.0,2275.0,2222.0,2145.0,2032.0,220.0,4735.0,655.0,120.0,8102.0,110.0,190.0,190.0,148.0,50.0,350.0,290.0,410.0,260.0,930.0,80.0,70.0,10.0,115.0,398.0,100.0,1210.0,198.0,11125.0,12035.0,5528.0,890.0,15632.0,2025.0,1482.0,3868.0,19498.0,19498.0,19598.0,19598.0,258.0,111762.0,152.0,205.0,75.0,358.0,350.0,645.0,115712.0,5600.0,119228.0,870.0,915.0,855.0,121768.0
2010-11-22,4610.0,15692.0,1158.0,1372.0,1480.0,3730.0,270.0,640.0,200.0,510.0,1550.0,840.0,2210.0,100.0,2670.0,4498.0,11748.0,12900.0,1070.0,14002.0,1572.0,2830.0,3518.0,135.0,59805.0,575.0,63982.0,83000.0,1088.0,538.0,84645.0,948.0,87242.0,128.0,1835.0,89090.0,89095.0,225.0,200.0,315.0,292.0,165.0,1078.0,125.0,362.0,200.0,532.0,1875.0,2925.0,380.0,428.0,810.0,462.0,1140.0,400.0,1402.0,1735.0,2770.0,1352.0,50.0,2260.0,2205.0,2088.0,1962.0,220.0,4640.0,580.0,118.0,8045.0,110.0,190.0,190.0,140.0,50.0,348.0,290.0,410.0,260.0,922.0,80.0,75.0,10.0,110.0,375.0,92.0,1208.0,200.0,11085.0,12020.0,5445.0,900.0,15652.0,2065.0,1555.0,3905.0,19558.0,19558.0,19660.0,19660.0,275.0,111860.0,155.0,222.0,72.0,392.0,355.0,668.0,115868.0,5592.0,119340.0,898.0,965.0,858.0,121980.0
2010-11-23,4552.0,15690.0,1125.0,1322.0,1435.0,3685.0,270.0,640.0,200.0,508.0,1542.0,840.0,2200.0,95.0,2665.0,4412.0,11702.0,12848.0,1058.0,13742.0,1668.0,2942.0,3685.0,125.0,59782.0,558.0,64205.0,83000.0,1075.0,530.0,84620.0,940.0,87220.0,125.0,1812.0,89032.0,89035.0,230.0,208.0,318.0,302.0,188.0,1082.0,122.0,360.0,198.0,522.0,1892.0,2965.0,380.0,420.0,802.0,460.0,1135.0,400.0,1392.0,1722.0,2752.0,1418.0,50.0,2250.0,2195.0,2060.0,1930.0,220.0,4585.0,500.0,110.0,7945.0,110.0,190.0,190.0,145.0,50.0,350.0,280.0,410.0,260.0,920.0,82.0,80.0,10.0,100.0,368.0,90.0,1200.0,305.0,11088.0,12050.0,5365.0,902.0,15570.0,2065.0,1492.0,3918.0,19490.0,19490.0,19590.0,19590.0,265.0,111868.0,152.0,235.0,82.0,415.0,382.0,682.0,115975.0,5602.0,119438.0,925.0,1015.0,858.0,122170.0
