, LIBBY DAM, KOOTENAI R AT BONNERS FERRY, HUNGRY HORSE DAM, FLATHEAD R AT COLUMBIA FALLS, CLARK FORK AT DEER LODGE, CLARK FORK NR DRUMMOND, ROCK CREEK NR CLINTON, BLACKFOOT R NR BONNER, CLARK FORK AB MISSOULA, BITTERROOT R NR MISSOULA, CLARK FORK BELOW MISSOULA, CLARK FORK AT ST REGIS, KERR DAM, CLARK FORK AT ST REGIS, NOXON RAPIDS DAM, ALBENI FALLS DAM, COEUR D'ALENE LAKE, COLUMBIAR @INTERNATL BOUNDAR, KETTLE RIVER AT LAURIER, GRAND COULEE DAM, GRAND COULEE DAM, CHIEF JOSEPH DAM, OKANOGAN RIVER NR TONASKET, METHOW R NR PATEROS, WELLS DAM, LAKE CHELAN DAM, ROCKY REACH DAM, WENATCHEE R AT PESHASTIN, WANAPUM DAM, PRIEST RAPIDS DAM, KEECHELUS LAKE, KACHESS DAM, YAKIMA RIVER AT EASTON, CLE ELUM LAKE, YAKIMA RIVER AT CLE ELUM, TEANAWAY RIVER BLW FORKS, YAKIMA RIVER AT UMTANUM, BUMPING LAKE, NACHES RIVER NR CLIFFDEL, RIMROCK LAKE, NACHES RIVER NR NACHES, YAKIMA RIVER AT UMTANUM, NACHES RIVER NR NACHES, YAKIMA RIVER NR PARKER, YAKIMA RIVER AT KIONA, ISLAND PARK 1SWIS.PARKDM&RES, FALL RIVER NR CHESTER, HENRYS FORK AT ST. ANTHONY, TETON RIVER NEAR ST. ANTHONY, HENRYS FORK NEAR REXBURG, SNAKE R ON JACKSON LAKE AT DAM, SNAKE RIVER NR JACKSON, PALISADES DAM, SNAKE RIVER NR HEISE, RIRIE DAM, RIRIE DAM, HENRYS FORK NEAR REXBURG, SNAKE RIVER NR HEISE, SNAKE AB EAGLE ROCK NR ID FALL, SNAKE RIVER NR SHELLEY, SNAKE RIVER AT BLACKFOOT, SNAKE RIVER NEAR BLACKFOOT, AMERICAN FALLS RESERVOIR, SNAKE RIV AT MILNER, BRUNEAU RIVER NR HOT SPRINGS, SNAKE RIVER BELOW SWAN FALLS, OWYHEE DAM, BOISE RIVER AT GLENWOOD BRIDGE, WARM SPRINGS RESERVOIR, AGENCY VLY DAM & BEULAH RSVR, BULLY CREEK DAM & RESERVOIR, MALHEUR RIVER NR VALE, CASCADE DAM, DEADWOOD DAM, PAYETTE RIVER NEAR EMMETT, SNAKE RIVER BELOW SWAN FALLS, OWYHEE DAM, BOISE RIVER AT GLENWOOD BRIDGE, PAYETTE RIVER NEAR EMMETT, WEISER RIVER NEAR WEISER, SNAKE RIVER AT WEISER, BROWNLEE DAM, SALMON R AT WHITEBIRD, GRANDE RONDE RIVER AT TROY, SNAKE RIVER NR ANATONE, DWORSHAK DAM, CLEARWATER R AT OROFINO, CLEARWATER R AT SPALDING, SNAKE RIVER NR ANATONE, CLEARWATER R AT SPALDING, LOWER GRANITE DAM, LITTLE GOOSE DAM, LOWER MONUMENTAL DAM, ICE HARBOR DAM, YAKIMA RIVER AT KIONA, WALLA WALLA RIV NR TOUCHET, MCNARY DAM, UMATILLA R AT PENDLETON, MCKAY CR NR PENDLETON, UMATILLA RIVER NEAR UMATILLA, JOHN DAY RIVER AT SERVICE CK, JOHN DAY DAM, DESCHUTES R AT MOODY NR BIGGS, THE DALLES, KLICKITAT R NR PITT, HOOD R AT TUCKER BRIDGE, WHITE SALMON R NR UNDERWOOD, BONNEVILLE DAM
2003-01-13,1981.0,5698.0,831.0,3298.0,172.0,378.0,142.0,406.0,952.0,566.0,1518.0,1754.0,4127.0,1754.0,6182.0,8374.0,2839.0,67260.0,279.0,72862.0,93438.0,83825.0,743.0,308.0,80629.0,868.0,76966.0,745.0,75230.0,74811.0,150.0,96.0,205.0,264.0,450.0,93.0,850.0,129.0,313.0,189.0,467.0,850.0,467.0,1612.0,2569.0,337.0,432.0,1149.0,360.0,1437.0,379.0,1221.0,1966.0,1459.0,23.0,0.0,1437.0,1459.0,2244.0,2417.0,1978.0,1878.0,4463.0,570.0,81.0,7374.0,260.0,226.0,158.0,57.0,25.0,63.0,1064.0,75.0,1265.0,7374.0,10.0,226.0,1265.0,796.0,10373.0,11184.0,3559.0,863.0,13082.0,2671.0,2029.0,3736.0,13082.0,3736.0,16818.0,16818.0,17034.0,17034.0,2569.0,720.0,89994.0,195.0,12.0,302.0,625.0,95601.0,5714.0,95268.0,1532.0,1272.0,934.0,101780.0
2003-01-14,2183.0,5717.0,809.0,3633.0,172.0,378.0,142.0,403.0,967.0,563.0,1530.0,1783.0,4070.0,1783.0,6082.0,8914.0,2981.0,68564.0,282.0,73494.0,90000.0,90078.0,740.0,310.0,91265.0,862.0,93032.0,763.0,97712.0,97619.0,176.0,181.0,212.0,233.0,460.0,126.0,844.0,121.0,302.0,191.0,445.0,844.0,445.0,1566.0,2531.0,337.0,431.0,1151.0,358.0,1446.0,378.0,1216.0,1968.0,1455.0,23.0,0.0,1446.0,1455.0,2226.0,2391.0,1997.0,1869.0,4464.0,562.0,94.0,7416.0,260.0,233.0,161.0,57.0,25.0,64.0,926.0,67.0,1484.0,7416.0,10.0,233.0,1484.0,983.0,11628.0,12981.0,3555.0,989.0,13946.0,2656.0,2289.0,4280.0,13946.0,4280.0,18226.0,18226.0,18746.0,18746.0,2531.0,1009.0,108209.0,259.0,12.0,301.0,732.0,109521.0,5333.0,106825.0,1457.0,1485.0,1064.0,108749.0
2003-01-15,2200.0,5617.0,532.0,3819.0,172.0,377.0,142.0,398.0,962.0,560.0,1523.0,1804.0,4341.0,1804.0,5907.0,8635.0,2820.0,69349.0,286.0,74788.0,90000.0,90000.0,739.0,309.0,91050.0,841.0,92612.0,740.0,96991.0,97000.0,149.0,150.0,214.0,233.0,463.0,118.0,854.0,110.0,293.0,184.0,429.0,854.0,429.0,1551.0,2437.0,336.0,431.0,1143.0,357.0,1453.0,378.0,1210.0,1960.0,1454.0,23.0,0.0,1453.0,1454.0,2223.0,2377.0,1983.0,1868.0,4466.0,548.0,105.0,7480.0,259.0,232.0,116.0,57.0,25.0,64.0,745.0,64.0,1391.0,7480.0,10.0,232.0,1391.0,642.0,11524.0,13352.0,3529.0,985.0,14920.0,2232.0,2341.0,4376.0,14920.0,4376.0,19296.0,19296.0,19913.0,19913.0,2437.0,882.0,120042.0,280.0,12.0,347.0,795.0,125393.0,5218.0,123416.0,1187.0,990.0,954.0,126723.0
2003-01-16,2186.0,5550.0,448.0,3743.0,171.0,376.0,141.0,394.0,957.0,558.0,1514.0,1803.0,4463.0,1803.0,5973.0,8633.0,2589.0,69549.0,281.0,75055.0,88438.0,88984.0,742.0,308.0,90253.0,822.0,92024.0,686.0,96405.0,96466.0,136.0,129.0,213.0,220.0,460.0,95.0,841.0,104.0,285.0,176.0,414.0,841.0,414.0,1526.0,2378.0,336.0,429.0,1137.0,356.0,1451.0,377.0,1206.0,1954.0,1453.0,23.0,0.0,1451.0,1453.0,2222.0,2370.0,1975.0,1858.0,4457.0,540.0,104.0,7439.0,259.0,232.0,90.0,57.0,25.0,65.0,672.0,62.0,1311.0,7439.0,10.0,232.0,1311.0,453.0,11159.0,12790.0,3494.0,919.0,15643.0,1930.0,2286.0,4294.0,15643.0,4294.0,19938.0,19938.0,20325.0,20325.0,2378.0,675.0,120104.0,195.0,12.0,385.0,735.0,125850.0,5088.0,123881.0,1071.0,753.0,838.0,126879.0
2003-01-17,2172.0,5511.0,433.0,3705.0,171.0,375.0,141.0,391.0,953.0,555.0,1508.0,1801.0,4403.0,1801.0,5993.0,8629.0,2337.0,69835.0,275.0,75293.0,77188.0,80000.0,746.0,306.0,82287.0,809.0,85101.0,649.0,90554.0,90973.0,130.0,120.0,212.0,207.0,457.0,85.0,820.0,98.0,278.0,169.0,397.0,820.0,397.0,1484.0,2343.0,335.0,428.0,1131.0,355.0,1442.0,377.0,1202.0,1950.0,1452.0,23.0,0.0,1442.0,1452.0,2218.0,2358.0,1968.0,1851.0,4448.0,538.0,96.0,7393.0,259.0,227.0,83.0,57.0,25.0,65.0,638.0,61.0,1280.0,7393.0,10.0,227.0,1280.0,377.0,10938.0,12216.0,3466.0,881.0,16107.0,1758.0,2205.0,4200.0,16107.0,4200.0,20307.0,20307.0,20619.0,20619.0,2343.0,622.0,118650.0,161.0,12.0,320.0,671.0,124787.0,5051.0,122867.0,1028.0,698.0,837.0,125699.0
2003-01-18,2160.0,5485.0,427.0,3690.0,171.0,374.0,140.0,390.0,950.0,552.0,1502.0,1799.0,4361.0,1799.0,6000.0,8607.0,2109.0,70014.0,269.0,75523.0,58438.0,59375.0,751.0,305.0,61311.0,798.0,64121.0,630.0,70157.0,70997.0,122.0,113.0,210.0,197.0,454.0,79.0,803.0,93.0,272.0,163.0,382.0,803.0,382.0,1442.0,2282.0,334.0,426.0,1126.0,354.0,1433.0,376.0,1198.0,1947.0,1451.0,23.0,0.0,1433.0,1451.0,2209.0,2341.0,1956.0,1843.0,4439.0,536.0,88.0,7367.0,259.0,219.0,81.0,56.0,25.0,66.0,614.0,59.0,1260.0,7367.0,10.0,219.0,1260.0,343.0,10788.0,11796.0,3440.0,859.0,16074.0,1668.0,2129.0,4110.0,16074.0,4110.0,20185.0,20185.0,20481.0,20481.0,2282.0,602.0,108048.0,151.0,12.0,274.0,660.0,116120.0,5067.0,114700.0,1006.0,692.0,844.0,118391.0
2003-01-19,2148.0,5466.0,422.0,3680.0,170.0,374.0,140.0,389.0,947.0,550.0,1497.0,1800.0,4338.0,1800.0,6007.0,8587.0,2006.0,70660.0,264.0,75708.0,67500.0,63203.0,752.0,304.0,62619.0,787.0,62718.0,618.0,65000.0,64761.0,119.0,112.0,208.0,195.0,451.0,77.0,791.0,88.0,266.0,159.0,368.0,791.0,368.0,1406.0,2235.0,334.0,425.0,1120.0,352.0,1424.0,376.0,1193.0,1943.0,1450.0,23.0,0.0,1424.0,1450.0,2199.0,2322.0,1941.0,1831.0,4428.0,536.0,82.0,7335.0,258.0,212.0,80.0,56.0,26.0,66.0,594.0,58.0,1243.0,7335.0,10.0,212.0,1243.0,325.0,10709.0,11572.0,3416.0,843.0,16020.0,1586.0,2060.0,4030.0,16020.0,4030.0,20050.0,20050.0,20365.0,20365.0,2235.0,599.0,90464.0,147.0,12.0,259.0,673.0,97968.0,5092.0,96621.0,997.0,738.0,883.0,100532.0
2003-01-20,2137.0,5450.0,417.0,3671.0,170.0,373.0,140.0,387.0,945.0,548.0,1492.0,1800.0,4321.0,1800.0,6017.0,8571.0,1937.0,78628.0,259.0,81970.0,93438.0,93359.0,753.0,303.0,93573.0,776.0,93681.0,607.0,94067.0,92879.0,113.0,110.0,207.0,189.0,449.0,75.0,783.0,84.0,262.0,154.0,356.0,783.0,356.0,1381.0,2202.0,333.0,424.0,1115.0,351.0,1415.0,375.0,1189.0,1939.0,1450.0,23.0,0.0,1415.0,1450.0,2189.0,2303.0,1924.0,1816.0,4413.0,535.0,79.0,7305.0,258.0,204.0,79.0,56.0,26.0,66.0,576.0,57.0,1228.0,7305.0,10.0,204.0,1228.0,313.0,10650.0,11449.0,3392.0,830.0,15981.0,1535.0,1999.0,3969.0,15981.0,3969.0,19951.0,19951.0,20326.0,20326.0,2202.0,645.0,96315.0,149.0,12.0,254.0,654.0,98849.0,5094.0,96259.0,989.0,763.0,971.0,97883.0
2003-01-21,2126.0,5437.0,412.0,3662.0,170.0,372.0,139.0,386.0,942.0,545.0,1487.0,1801.0,4305.0,1801.0,6027.0,8556.0,1888.0,79908.0,254.0,85315.0,90000.0,90078.0,752.0,301.0,91265.0,766.0,93036.0,598.0,96703.0,96856.0,107.0,105.0,206.0,178.0,447.0,70.0,775.0,81.0,258.0,151.0,345.0,775.0,345.0,1363.0,2152.0,333.0,422.0,1110.0,350.0,1406.0,375.0,1185.0,1935.0,1449.0,23.0,0.0,1406.0,1449.0,2179.0,2285.0,1907.0,1800.0,4397.0,534.0,76.0,7278.0,258.0,196.0,79.0,56.0,26.0,66.0,559.0,55.0,1214.0,7278.0,10.0,196.0,1214.0,304.0,10594.0,11363.0,3368.0,817.0,15941.0,1471.0,1945.0,3893.0,15941.0,3893.0,19833.0,19833.0,20186.0,20186.0,2152.0,614.0,119411.0,142.0,12.0,254.0,642.0,123151.0,5061.0,120373.0,957.0,691.0,922.0,121425.0
2003-01-22,2116.0,5424.0,407.0,3654.0,169.0,371.0,139.0,385.0,939.0,543.0,1482.0,1802.0,4290.0,1802.0,6037.0,8542.0,1864.0,79876.0,249.0,85220.0,90000.0,90000.0,752.0,300.0,91053.0,757.0,92615.0,587.0,95707.0,95715.0,103.0,101.0,205.0,172.0,444.0,65.0,766.0,78.0,254.0,148.0,335.0,766.0,335.0,1345.0,2115.0,332.0,421.0,1105.0,349.0,1397.0,374.0,1181.0,1932.0,1448.0,23.0,0.0,1397.0,1448.0,2169.0,2266.0,1891.0,1784.0,4380.0,533.0,74.0,7256.0,258.0,188.0,78.0,56.0,26.0,67.0,544.0,54.0,1201.0,7256.0,10.0,188.0,1201.0,297.0,10544.0,11296.0,3344.0,805.0,15898.0,1408.0,1895.0,3826.0,15898.0,3826.0,19724.0,19724.0,20048.0,20048.0,2115.0,605.0,119038.0,137.0,12.0,250.0,616.0,124947.0,5037.0,122978.0,938.0,694.0,911.0,125703.0
2003-01-23,2106.0,5413.0,402.0,3646.0,169.0,370.0,138.0,383.0,937.0,541.0,1478.0,1803.0,4276.0,1803.0,6048.0,8532.0,1816.0,79846.0,245.0,85131.0,90000.0,90000.0,751.0,299.0,91052.0,747.0,92614.0,585.0,95538.0,95545.0,105.0,107.0,204.0,175.0,443.0,66.0,760.0,75.0,251.0,145.0,326.0,760.0,326.0,1328.0,2101.0,331.0,420.0,1101.0,348.0,1389.0,374.0,1177.0,1928.0,1447.0,23.0,0.0,1389.0,1447.0,2160.0,2248.0,1875.0,1769.0,4364.0,532.0,73.0,7238.0,257.0,180.0,78.0,56.0,26.0,67.0,530.0,53.0,1189.0,7238.0,10.0,180.0,1189.0,291.0,10499.0,11241.0,3321.0,795.0,15860.0,1375.0,1849.0,3768.0,15860.0,3768.0,19628.0,19628.0,19978.0,19978.0,2101.0,710.0,118481.0,140.0,12.0,244.0,600.0,124112.0,5063.0,122083.0,943.0,858.0,999.0,124752.0
