, LIBBY DAM, KOOTENAI RIV AT LEONIA, NF FLATHEAD R NR COLUMBIA FALL, MF FLATHEAD NR WEST GLACIER, DAM AT HUNGRY HORSE, FLATHEAD R AT COLUMBIA FALLS, CLARK FORK AT DEER LODGE, CLARK FORK AT DRUMMOND, ROCK CREEK NR CLINTON, BLACKFOOT R NR BONNER, CLARK FORK AB MISSOULA, BITTERROOT R NR MISSOULA, CLARK FORK BELOW MISSOULA, ST. REGIS R. NR ST. REGIS, CLARK FORK AT ST REGIS    TB20, KERR DAM, NOXON RAPIDS DAM, CABINET GORGE DAM, PRIEST R NR PRIEST RIVER, ALBENI FALLS DAM, COEUR D'ALENE LAKE, SPOKANE RIV AT LONGLAKE, ST MARIES R NR SANTA, COLUMBIAR @INTERNATL BOUNDAR, KETTLE RIVER AT LAURIER, GRAND COULEE DAM, CHIEF JOSEPH DAM, OKANOGAN RIVER NEAR TONASKET, METHOW R NEAR PATEROS, WELLS DAM, LAKE CHELAN DAM, ROCKY REACH DAM, ENTIAT R NR ARDENVOIR, WENATCHEE R AT PESHASTIN  TB20, WANAPUM DAM, PRIEST RAPIDS DAM, KEECHELUS LAKE, KACHESS DAM NEAR EASTON, YAKIMA RIVER AT EASTON, CLE ELUM LAKE NEAR ROSLYN, YAKIMA RIVER AT CLE ELUM, TEANAWAY RIVER BLW FORKS, YAKIMA RIVER AT UMTANUM, BUMPING LK DM NR GOOSE PRAIRIE, NACHES RIVER NEAR CLIFFDEL, RIMROCK LAKE NEAR RIMROCK, NACHES RIVER NEAR NACHES, YAKIMA RIVER NEAR PARKER, YAKIMA RIVER AT KIONA, ISLAND PARK 1SWIS.PARKDM&RES, FALL RIVER NR CHESTER, HENRYS FORK AT ST. ANTHONY, TETON RIVER NEAR ST. ANTHONY, HENRYS FORK NEAR REXBURG, SNKE R ON JACKSN LK AT DM TB20, SNAKE RIVER NR JACKSON, SNAKE RIVER NR ALPINE, PALISADES DAM, SNAKE RIVER NR HEISE, RIRIE DAM AND LAKE ON WILLOW C, SNAKE AB EAGLE ROCK NR ID FALL, SNAKE RIVER NR SHELLEY, SNAKE RIVER AT BLACKFOOT, SNAKE RIVER NEAR BLACKFOOT, PORTNEUF RIVER AT POCATELLO, AMERICAN FALLS RESERVOIR  TB12, SNAKE RIV AT MILNER, BRUNEAU RIVER NR HOT SPRINGS, SNAKE RIVER BELOW SWAN FALLS, BIG LOST R@HOW'L RNCH NR CHILL, BIG LOST R AT MACKAY, BIG WOOD RIVER AT HAILEY, MAGIC DM&RES-BIG WOOD RICHFLD, LITL.WOODDM&RESNRCAREY, OWYHEE BELOW OWYHEE DAM, ANDERSON RANCH DAM        TB12, BOISE LUCKY PEAK DAM, BOISE RIVER AT GLENWOOD BRIDGE, BOISE RIVER NR PARMA, WARM SPRINGS RESERVOIR, AGENCY VLY DAM & BEULAH RSVR, BULLY CREEK DAM & RES     TB12, MALHEUR RIVER NR VALE, CASCADE DAM               TB12, DEADWOOD RESERVOIR NR LOWMAN, PAYETTE RIVER NEAR EMMETT, WEISER RIVER NR WEISER, SNAKE RIVER AT WEISER, BROWNLEE DAM, SALMON R AT WHITEBIRD, GRANDE RONDE RIVER AT TROY, SNAKE RIVER NR ANATONE, CLEARWATER R AT OROFINO, DWORSHAK DAM, CLEARWATER R AT SPALDING, LOWER GRANITE DAM, LITTLE GOOSE DAM, LOWER MONUMENTAL DAM, ICE HARBOR DAM, WALLA WALLA RIV NEAR TOUCHET, MCNARY DAM NEAR MCNARY, UMATILLA R NR GIBBON, UMATILLA R AT PENDLETON, MCKAY CR NR PILOTROCK, UMATILLA RIVER NEAR UMATILLA, NF JOHN DAY RIV AT MONUMENT, JOHN DAY RIVER AT SERVICE CK, JOHN DAY DAM, DESCHUTES R AT MOODY NR BIGGS, THE DALLES, KLICKITAT R NR PITT, HOOD R AT TUCKER BRIDGE   TB20, WHITE SALMON R NEAR UNDERWOOD, BONNEVILLE DAM
2004-06-28,25967.0,15061.0,5203.0,5104.0,6500.0,16629.0,130.0,349.0,594.0,2083.0,3157.0,4011.0,7160.0,369.0,9274.0,18770.0,30501.0,31259.0,1675.0,33761.0,3264.0,4185.0,167.0,125292.0,6413.0,135349.0,128235.0,4443.0,3031.0,131499.0,3757.0,129608.0,518.0,4248.0,136380.0,133745.0,167.0,243.0,264.0,926.0,2870.0,39.0,2907.0,269.0,909.0,751.0,1270.0,284.0,1766.0,570.0,815.0,1690.0,1548.0,2332.0,2768.0,7722.0,9571.0,12380.0,11400.0,47.0,6287.0,5385.0,2372.0,1744.0,58.0,3926.0,20.0,302.0,4276.0,700.0,701.0,709.0,397.0,137.0,189.0,943.0,4562.0,1258.0,844.0,8.0,89.0,9.0,108.0,672.0,238.0,2835.0,506.0,9029.0,9293.0,14339.0,4355.0,28546.0,10534.0,5656.0,13533.0,42079.0,42079.0,42187.0,42187.0,98.0,166005.0,80.0,157.0,8.0,206.0,779.0,1054.0,170280.0,5101.0,165557.0,1149.0,567.0,837.0,189867.0
2004-06-29,24077.0,14240.0,4643.0,4585.0,6109.0,15341.0,124.0,338.0,613.0,1966.0,3021.0,3841.0,6857.0,346.0,8837.0,18162.0,28511.0,29390.0,1675.0,32538.0,3046.0,3643.0,164.0,125187.0,5784.0,134059.0,140000.0,4423.0,2600.0,147071.0,3553.0,149581.0,440.0,3803.0,160911.0,160606.0,154.0,168.0,302.0,827.0,2912.0,37.0,2954.0,249.0,867.0,755.0,1272.0,304.0,1709.0,568.0,899.0,1771.0,1474.0,2317.0,2622.0,7251.0,9037.0,11826.0,11363.0,46.0,6376.0,5478.0,2567.0,2109.0,57.0,4293.0,20.0,290.0,4969.0,737.0,738.0,710.0,414.0,125.0,217.0,1187.0,4337.0,1245.0,862.0,8.0,86.0,9.0,102.0,695.0,230.0,2771.0,529.0,8713.0,9041.0,13759.0,4402.0,26655.0,9818.0,5428.0,12391.0,39046.0,39046.0,39143.0,39143.0,92.0,190035.0,79.0,151.0,11.0,196.0,762.0,1023.0,189468.0,5063.0,182046.0,1129.0,546.0,837.0,182165.0
2004-06-30,24149.0,14186.0,4790.0,4320.0,6392.0,15053.0,117.0,340.0,800.0,1877.0,3093.0,4067.0,7159.0,333.0,8578.0,17416.0,25539.0,26431.0,1675.0,29504.0,2897.0,3546.0,157.0,122031.0,5223.0,131260.0,135000.0,4194.0,2277.0,142871.0,3374.0,146514.0,382.0,3409.0,158772.0,159074.0,141.0,165.0,343.0,762.0,2961.0,35.0,2998.0,227.0,842.0,750.0,1294.0,346.0,1688.0,555.0,848.0,1663.0,1320.0,2266.0,2427.0,6683.0,8423.0,11065.0,11323.0,45.0,6460.0,5555.0,2674.0,2278.0,57.0,4500.0,20.0,279.0,5663.0,706.0,707.0,665.0,381.0,115.0,230.0,1233.0,3963.0,1228.0,872.0,8.0,83.0,8.0,84.0,701.0,222.0,2713.0,636.0,8903.0,9072.0,13671.0,4618.0,26044.0,9580.0,5460.0,12706.0,38750.0,38750.0,38837.0,38837.0,82.0,201233.0,78.0,145.0,12.0,185.0,780.0,1057.0,205269.0,5056.0,199076.0,1120.0,532.0,849.0,201183.0
2004-07-01,23642.0,14126.0,4718.0,4147.0,6331.0,14905.0,110.0,327.0,742.0,1768.0,2981.0,4216.0,7197.0,319.0,8800.0,17018.0,23768.0,24649.0,1675.0,27459.0,2745.0,3808.0,150.0,118335.0,4798.0,128099.0,115686.0,3869.0,2095.0,124429.0,3219.0,129777.0,341.0,3049.0,144079.0,145266.0,130.0,161.0,362.0,757.0,2997.0,34.0,3033.0,209.0,827.0,748.0,1304.0,391.0,1702.0,545.0,782.0,1580.0,1207.0,2060.0,2266.0,6159.0,7885.0,10331.0,11293.0,43.0,6270.0,5395.0,2690.0,2344.0,57.0,4554.0,20.0,268.0,5634.0,642.0,644.0,625.0,338.0,105.0,197.0,1068.0,3762.0,1213.0,851.0,8.0,80.0,8.0,63.0,644.0,214.0,2612.0,625.0,9463.0,9511.0,13460.0,4831.0,26287.0,9298.0,4974.0,14328.0,40614.0,40614.0,40690.0,40690.0,76.0,198021.0,77.0,146.0,19.0,178.0,798.0,1135.0,203298.0,5055.0,197648.0,1131.0,528.0,866.0,200510.0
2004-07-02,21972.0,14064.0,4237.0,3972.0,5728.0,14217.0,105.0,306.0,659.0,1669.0,2775.0,3781.0,6557.0,309.0,8606.0,16351.0,25319.0,26194.0,1675.0,28305.0,2595.0,4000.0,145.0,116757.0,4446.0,125449.0,97500.0,3580.0,1975.0,104333.0,3073.0,108048.0,309.0,2755.0,119896.0,120685.0,120.0,155.0,369.0,749.0,3016.0,33.0,3072.0,193.0,814.0,710.0,1294.0,444.0,1742.0,540.0,654.0,1449.0,1087.0,1825.0,2065.0,5797.0,7412.0,9697.0,11291.0,41.0,6046.0,5127.0,2463.0,2237.0,58.0,4487.0,20.0,259.0,5568.0,572.0,574.0,597.0,295.0,99.0,157.0,893.0,3700.0,1212.0,840.0,8.0,77.0,7.0,54.0,579.0,207.0,2464.0,563.0,9726.0,9914.0,12666.0,5255.0,26557.0,8736.0,4563.0,13449.0,40006.0,40006.0,40072.0,40072.0,85.0,177421.0,78.0,161.0,28.0,171.0,849.0,1312.0,185742.0,5048.0,181068.0,1131.0,515.0,880.0,185530.0
2004-07-03,20862.0,14014.0,3906.0,3833.0,5178.0,13216.0,99.0,293.0,613.0,1580.0,2609.0,3416.0,6025.0,300.0,7974.0,15370.0,25830.0,26758.0,1675.0,29234.0,2463.0,3875.0,140.0,118099.0,4135.0,125833.0,88750.0,3332.0,1882.0,94742.0,2894.0,97842.0,284.0,2512.0,108073.0,108468.0,111.0,144.0,377.0,711.0,3029.0,31.0,3097.0,179.0,786.0,646.0,1277.0,468.0,1786.0,541.0,592.0,1363.0,1004.0,1561.0,1869.0,5544.0,7096.0,9255.0,11294.0,40.0,5839.0,4910.0,2262.0,2013.0,58.0,4253.0,20.0,250.0,5545.0,514.0,517.0,574.0,271.0,95.0,135.0,793.0,3664.0,1214.0,851.0,8.0,74.0,6.0,59.0,533.0,199.0,2303.0,484.0,9486.0,9722.0,12047.0,5168.0,27541.0,8156.0,4206.0,12488.0,40029.0,40029.0,40085.0,40085.0,78.0,157253.0,77.0,153.0,22.0,163.0,747.0,1414.0,163678.0,5035.0,158905.0,1105.0,500.0,880.0,162801.0
2004-07-04,19602.0,13960.0,3667.0,3707.0,4692.0,12650.0,92.0,281.0,576.0,1502.0,2474.0,3130.0,5604.0,291.0,7430.0,14285.0,24307.0,25270.0,1675.0,27735.0,2345.0,3753.0,136.0,118015.0,3825.0,125923.0,86250.0,3134.0,1801.0,91295.0,2725.0,93699.0,265.0,2315.0,102485.0,102602.0,104.0,135.0,384.0,669.0,3042.0,30.0,3129.0,168.0,746.0,589.0,1254.0,494.0,1818.0,549.0,571.0,1325.0,947.0,1339.0,1725.0,5371.0,6877.0,8939.0,11298.0,38.0,5631.0,4681.0,2061.0,1800.0,58.0,3993.0,20.0,243.0,5534.0,474.0,477.0,553.0,247.0,91.0,127.0,738.0,3635.0,1216.0,854.0,8.0,72.0,6.0,64.0,495.0,192.0,2165.0,424.0,9241.0,9458.0,11566.0,4726.0,27251.0,7646.0,3884.0,11625.0,38877.0,38877.0,38922.0,38922.0,67.0,147473.0,77.0,142.0,23.0,155.0,647.0,1328.0,152783.0,5026.0,147921.0,1082.0,486.0,868.0,151112.0
2004-07-05,18079.0,13909.0,3447.0,3562.0,4269.0,12271.0,85.0,269.0,546.0,1432.0,2356.0,2906.0,5262.0,284.0,6987.0,13669.0,22799.0,23789.0,1675.0,26130.0,2239.0,3645.0,132.0,116170.0,3548.0,123952.0,98906.0,2964.0,1728.0,101875.0,2579.0,102382.0,250.0,2166.0,108314.0,107748.0,97.0,126.0,392.0,628.0,3057.0,30.0,3159.0,158.0,704.0,535.0,1228.0,511.0,1843.0,549.0,539.0,1284.0,919.0,1192.0,1627.0,5234.0,6711.0,8701.0,11304.0,36.0,5531.0,4554.0,1900.0,1595.0,57.0,3747.0,20.0,235.0,5521.0,444.0,447.0,533.0,224.0,85.0,120.0,691.0,3609.0,1218.0,862.0,8.0,70.0,5.0,76.0,468.0,186.0,2045.0,380.0,9048.0,9232.0,11167.0,4300.0,26052.0,7192.0,3609.0,10921.0,36973.0,36973.0,37007.0,37007.0,60.0,143106.0,77.0,136.0,23.0,146.0,582.0,1170.0,147005.0,5019.0,142112.0,1054.0,470.0,853.0,144769.0
2004-07-06,16994.0,13873.0,3273.0,3408.0,3921.0,11922.0,78.0,260.0,531.0,1371.0,2266.0,2735.0,5001.0,278.0,6625.0,13253.0,21756.0,22769.0,1675.0,25004.0,2168.0,3561.0,130.0,113209.0,3299.0,121052.0,123902.0,2806.0,1661.0,128197.0,2440.0,129729.0,238.0,2054.0,135205.0,134289.0,91.0,119.0,399.0,589.0,3072.0,29.0,3174.0,149.0,665.0,496.0,1205.0,502.0,1864.0,551.0,456.0,1203.0,888.0,1089.0,1516.0,5107.0,6557.0,8493.0,11310.0,35.0,5544.0,4559.0,1865.0,1467.0,57.0,3562.0,20.0,228.0,5488.0,420.0,424.0,513.0,209.0,82.0,112.0,650.0,3586.0,1220.0,875.0,8.0,67.0,5.0,96.0,458.0,179.0,1949.0,348.0,8908.0,9061.0,10821.0,3928.0,26431.0,6790.0,3405.0,13051.0,39482.0,39482.0,39510.0,39510.0,54.0,156482.0,77.0,133.0,24.0,136.0,546.0,1027.0,156202.0,5012.0,150659.0,1036.0,462.0,836.0,151532.0
2004-07-07,16036.0,13838.0,3138.0,3267.0,3628.0,11627.0,72.0,245.0,512.0,1317.0,2184.0,2582.0,4767.0,271.0,6338.0,12885.0,21003.0,22011.0,1675.0,24139.0,2095.0,3505.0,127.0,109950.0,3074.0,117223.0,120035.0,2657.0,1599.0,124772.0,2332.0,127528.0,228.0,1965.0,135301.0,135489.0,84.0,112.0,407.0,561.0,3086.0,28.0,3173.0,140.0,630.0,468.0,1187.0,473.0,1862.0,544.0,395.0,1110.0,854.0,960.0,1408.0,4969.0,6403.0,8288.0,11316.0,34.0,5465.0,4487.0,1866.0,1439.0,57.0,3460.0,20.0,221.0,5381.0,401.0,405.0,495.0,192.0,78.0,106.0,618.0,3566.0,1221.0,874.0,8.0,65.0,4.0,94.0,436.0,174.0,1861.0,326.0,8790.0,8917.0,10507.0,3606.0,26360.0,6456.0,3223.0,20641.0,47001.0,47001.0,47025.0,47025.0,46.0,182891.0,77.0,129.0,25.0,128.0,523.0,926.0,183580.0,5005.0,178177.0,1022.0,454.0,819.0,178645.0
2004-07-08,15187.0,13796.0,3038.0,3128.0,3374.0,11375.0,65.0,234.0,490.0,1265.0,2092.0,2434.0,4526.0,264.0,6068.0,12488.0,20353.0,21353.0,1675.0,23371.0,1980.0,3414.0,122.0,108728.0,2869.0,115374.0,117960.0,2517.0,1541.0,122341.0,2234.0,124909.0,218.0,1893.0,131998.0,132102.0,79.0,106.0,415.0,524.0,3102.0,26.0,3168.0,132.0,599.0,446.0,1174.0,463.0,1839.0,537.0,353.0,1012.0,831.0,814.0,1319.0,4838.0,6249.0,8076.0,11319.0,32.0,5332.0,4325.0,1776.0,1394.0,58.0,3378.0,20.0,215.0,5292.0,385.0,389.0,478.0,178.0,75.0,100.0,577.0,3539.0,1223.0,890.0,8.0,62.0,3.0,86.0,416.0,168.0,1782.0,306.0,8619.0,8732.0,10195.0,3328.0,25526.0,6141.0,3044.0,20335.0,45861.0,45861.0,45880.0,45880.0,40.0,182322.0,76.0,123.0,25.0,120.0,498.0,855.0,186107.0,4998.0,181907.0,1016.0,444.0,804.0,184497.0
2004-07-09,15521.0,13759.0,2961.0,2993.0,3148.0,11140.0,59.0,218.0,475.0,1220.0,2016.0,2301.0,4317.0,258.0,5800.0,12196.0,19706.0,20722.0,1675.0,22703.0,1901.0,3313.0,118.0,107689.0,2682.0,114028.0,116597.0,2385.0,1484.0,120766.0,2144.0,123304.0,210.0,1830.0,129942.0,130023.0,75.0,103.0,423.0,544.0,3119.0,26.0,3185.0,127.0,574.0,463.0,1166.0,462.0,1822.0,534.0,299.0,903.0,807.0,645.0,1251.0,4726.0,6108.0,7873.0,11320.0,31.0,5108.0,4076.0,1601.0,1283.0,58.0,3236.0,20.0,209.0,5145.0,371.0,376.0,462.0,157.0,73.0,97.0,551.0,3509.0,1225.0,886.0,8.0,58.0,3.0,77.0,406.0,162.0,1721.0,292.0,8421.0,8504.0,9905.0,3082.0,24678.0,5811.0,2904.0,19994.0,44672.0,44672.0,44684.0,44684.0,35.0,178410.0,74.0,117.0,28.0,112.0,486.0,806.0,181804.0,4999.0,177800.0,1051.0,447.0,801.0,180348.0
2004-07-10,16430.0,13736.0,2919.0,2899.0,2945.0,10987.0,52.0,211.0,470.0,1182.0,1961.0,2209.0,4170.0,254.0,5572.0,12006.0,19160.0,20196.0,1675.0,22165.0,1890.0,3273.0,117.0,106797.0,2512.0,112878.0,115416.0,2261.0,1429.0,119379.0,2084.0,121890.0,202.0,1775.0,128103.0,128176.0,72.0,103.0,431.0,555.0,3135.0,25.0,3205.0,121.0,552.0,452.0,1162.0,483.0,1815.0,543.0,371.0,916.0,793.0,509.0,1200.0,4639.0,5993.0,7702.0,11328.0,30.0,5045.0,3981.0,1435.0,1111.0,57.0,3052.0,20.0,203.0,5057.0,360.0,365.0,446.0,145.0,72.0,96.0,541.0,3481.0,1227.0,892.0,8.0,55.0,2.0,88.0,405.0,157.0,1670.0,283.0,8225.0,8290.0,9640.0,2865.0,23879.0,5536.0,2811.0,19683.0,43562.0,43562.0,43567.0,43567.0,34.0,175247.0,72.0,113.0,31.0,104.0,484.0,793.0,178419.0,4992.0,174606.0,1072.0,444.0,813.0,177146.0
2004-07-11,16880.0,13714.0,2799.0,2829.0,2764.0,10804.0,45.0,203.0,457.0,1145.0,1905.0,2113.0,4018.0,249.0,5398.0,11849.0,18762.0,19790.0,1675.0,21597.0,1900.0,3291.0,114.0,106226.0,2356.0,112049.0,113342.0,2145.0,1378.0,117357.0,2026.0,120074.0,195.0,1725.0,126108.0,126228.0,67.0,100.0,439.0,541.0,3152.0,24.0,3213.0,115.0,531.0,427.0,1161.0,482.0,1814.0,545.0,494.0,1033.0,793.0,472.0,1153.0,4589.0,5913.0,7573.0,11336.0,29.0,5014.0,3942.0,1403.0,1014.0,57.0,2886.0,20.0,198.0,4960.0,350.0,356.0,432.0,135.0,69.0,97.0,510.0,3453.0,1229.0,890.0,8.0,53.0,2.0,91.0,393.0,153.0,1620.0,275.0,8042.0,8075.0,9399.0,2676.0,23155.0,5335.0,2706.0,19462.0,42616.0,42616.0,42617.0,42617.0,29.0,172455.0,70.0,108.0,32.0,95.0,466.0,786.0,175434.0,4988.0,171819.0,1051.0,434.0,813.0,174348.0
2004-07-12,16457.0,13685.0,2709.0,2738.0,2600.0,10608.0,39.0,181.0,435.0,1109.0,1834.0,1982.0,3816.0,244.0,5209.0,11590.0,18422.0,19435.0,1675.0,21107.0,1830.0,3264.0,111.0,106374.0,2212.0,111933.0,109555.0,2036.0,1328.0,113179.0,1943.0,115739.0,188.0,1678.0,121376.0,121542.0,62.0,95.0,447.0,512.0,3168.0,23.0,3219.0,110.0,513.0,416.0,1162.0,476.0,1809.0,538.0,477.0,1031.0,783.0,522.0,1102.0,4554.0,5856.0,7470.0,11342.0,28.0,5023.0,3919.0,1392.0,993.0,57.0,2788.0,20.0,193.0,4852.0,336.0,342.0,419.0,121.0,67.0,91.0,481.0,3425.0,1230.0,886.0,8.0,49.0,1.0,85.0,388.0,148.0,1576.0,264.0,7879.0,7879.0,9151.0,2512.0,22446.0,5111.0,2600.0,19231.0,41677.0,41677.0,41677.0,41677.0,22.0,168430.0,69.0,102.0,32.0,87.0,435.0,750.0,171670.0,4980.0,168346.0,1037.0,427.0,804.0,171008.0
2004-07-13,15829.0,13649.0,2640.0,2650.0,2451.0,10441.0,35.0,160.0,424.0,1079.0,1770.0,1886.0,3657.0,239.0,4988.0,11363.0,17976.0,18999.0,1675.0,20652.0,1786.0,3195.0,108.0,105815.0,2079.0,111329.0,109045.0,1943.0,1280.0,112479.0,1868.0,114937.0,182.0,1633.0,119922.0,119970.0,61.0,91.0,456.0,508.0,3186.0,23.0,3229.0,107.0,497.0,413.0,1165.0,475.0,1798.0,537.0,441.0,948.0,768.0,535.0,1060.0,4516.0,5803.0,7378.0,11347.0,27.0,5081.0,3955.0,1426.0,1004.0,56.0,2734.0,20.0,188.0,4786.0,326.0,332.0,406.0,109.0,65.0,87.0,464.0,3399.0,1232.0,877.0,8.0,46.0,1.0,86.0,396.0,143.0,1541.0,257.0,7706.0,7685.0,8917.0,2369.0,21721.0,4893.0,2515.0,18996.0,40717.0,40717.0,40717.0,40717.0,14.0,163802.0,67.0,97.0,34.0,79.0,415.0,706.0,166546.0,4974.0,163401.0,1038.0,426.0,796.0,165987.0
2004-07-14,16875.0,13634.0,2474.0,2589.0,2314.0,10221.0,35.0,150.0,415.0,1053.0,1715.0,1814.0,3529.0,233.0,4808.0,11165.0,17549.0,18587.0,1675.0,20179.0,1799.0,3197.0,106.0,105249.0,1957.0,110624.0,108322.0,1866.0,1232.0,111605.0,1803.0,114050.0,176.0,1591.0,118651.0,118703.0,58.0,87.0,464.0,531.0,3203.0,23.0,3247.0,103.0,483.0,417.0,1171.0,493.0,1790.0,537.0,417.0,913.0,760.0,486.0,1019.0,4464.0,5739.0,7285.0,11354.0,26.0,5104.0,3972.0,1485.0,1058.0,56.0,2728.0,20.0,184.0,4713.0,316.0,322.0,394.0,99.0,62.0,83.0,445.0,3375.0,1234.0,880.0,8.0,43.0,0.0,86.0,393.0,139.0,1503.0,253.0,7553.0,7497.0,8711.0,2244.0,21113.0,4727.0,2467.0,18802.0,39915.0,39915.0,39915.0,39915.0,11.0,161596.0,66.0,93.0,36.0,71.0,394.0,670.0,163995.0,4973.0,160999.0,1047.0,429.0,799.0,163425.0
2004-07-15,15857.0,13612.0,2457.0,2537.0,2189.0,10111.0,36.0,136.0,401.0,1024.0,1658.0,1727.0,3385.0,225.0,4650.0,10925.0,17176.0,18195.0,1675.0,19638.0,1771.0,3197.0,103.0,104633.0,1844.0,109923.0,107635.0,1794.0,1187.0,110794.0,1743.0,113237.0,171.0,1551.0,117457.0,117508.0,55.0,82.0,467.0,523.0,3212.0,22.0,3262.0,99.0,469.0,412.0,1170.0,517.0,1795.0,532.0,332.0,807.0,749.0,426.0,981.0,4404.0,5658.0,7170.0,11329.0,25.0,5069.0,3924.0,1481.0,1104.0,56.0,2738.0,20.0,179.0,4665.0,305.0,312.0,382.0,86.0,59.0,76.0,426.0,3351.0,1228.0,880.0,8.0,40.0,0.0,90.0,395.0,135.0,1469.0,245.0,7436.0,7350.0,8488.0,2134.0,20547.0,4597.0,2383.0,18656.0,39203.0,39203.0,39203.0,39203.0,11.0,159606.0,65.0,89.0,37.0,62.0,379.0,641.0,161817.0,4966.0,159027.0,1042.0,425.0,795.0,161450.0
2004-07-16,14901.0,13581.0,2431.0,2470.0,2074.0,10028.0,36.0,129.0,389.0,997.0,1606.0,1644.0,3250.0,219.0,4483.0,10777.0,16792.0,17809.0,1675.0,19150.0,1712.0,3160.0,101.0,103783.0,1740.0,109052.0,106796.0,1726.0,1145.0,109849.0,1686.0,112301.0,166.0,1513.0,116160.0,116217.0,52.0,79.0,469.0,490.0,3212.0,21.0,3263.0,96.0,455.0,399.0,1161.0,516.0,1806.0,530.0,269.0,741.0,736.0,343.0,942.0,4334.0,5569.0,7048.0,11253.0,24.0,4991.0,3844.0,1425.0,1090.0,57.0,2753.0,20.0,175.0,4647.0,294.0,301.0,370.0,77.0,57.0,71.0,406.0,3327.0,1212.0,871.0,8.0,39.0,0.0,93.0,399.0,131.0,1448.0,238.0,7324.0,7233.0,8249.0,2036.0,20034.0,4442.0,2315.0,18497.0,38530.0,38530.0,38530.0,38530.0,11.0,157708.0,63.0,87.0,35.0,55.0,366.0,613.0,159765.0,4967.0,157191.0,1032.0,420.0,787.0,159596.0
2004-07-17,15341.0,13553.0,2354.0,2388.0,1969.0,9877.0,35.0,131.0,378.0,974.0,1562.0,1567.0,3129.0,212.0,4325.0,10601.0,16469.0,17486.0,1675.0,18864.0,1611.0,3072.0,97.0,98975.0,1643.0,105103.0,103424.0,1668.0,1106.0,106677.0,1632.0,109462.0,161.0,1476.0,113385.0,113568.0,49.0,76.0,471.0,473.0,3212.0,20.0,3258.0,93.0,442.0,390.0,1151.0,497.0,1806.0,531.0,223.0,710.0,721.0,279.0,918.0,4273.0,5483.0,6927.0,11173.0,24.0,4910.0,3769.0,1348.0,1040.0,56.0,2747.0,20.0,171.0,4649.0,286.0,293.0,359.0,70.0,56.0,69.0,394.0,3305.0,1196.0,856.0,8.0,39.0,0.0,96.0,406.0,127.0,1458.0,234.0,7253.0,7143.0,8021.0,1948.0,19571.0,4268.0,2266.0,18328.0,37899.0,37899.0,37899.0,37899.0,11.0,155543.0,62.0,84.0,33.0,46.0,350.0,582.0,157643.0,4957.0,155178.0,1020.0,416.0,782.0,157593.0
2004-07-18,14666.0,13529.0,2215.0,2302.0,1871.0,9654.0,35.0,129.0,371.0,951.0,1531.0,1501.0,3032.0,207.0,4184.0,10388.0,16149.0,17157.0,1675.0,18481.0,1519.0,2965.0,94.0,96957.0,1553.0,101866.0,99688.0,1616.0,1070.0,102609.0,1582.0,105167.0,157.0,1441.0,108515.0,108672.0,46.0,73.0,472.0,442.0,3213.0,20.0,3255.0,90.0,429.0,390.0,1142.0,476.0,1791.0,539.0,263.0,744.0,714.0,239.0,901.0,4231.0,5414.0,6822.0,11092.0,23.0,4806.0,3671.0,1271.0,982.0,56.0,2715.0,20.0,167.0,4643.0,279.0,287.0,349.0,65.0,54.0,68.0,386.0,3284.0,1180.0,832.0,8.0,38.0,0.0,96.0,417.0,124.0,1473.0,231.0,7240.0,7113.0,7813.0,1870.0,19176.0,4103.0,2200.0,18160.0,37335.0,37335.0,37335.0,37335.0,11.0,151008.0,61.0,79.0,29.0,38.0,347.0,555.0,153532.0,4952.0,151269.0,1020.0,414.0,775.0,153899.0
2004-07-19,13573.0,13503.0,2177.0,2213.0,1782.0,9503.0,36.0,123.0,361.0,929.0,1498.0,1431.0,2928.0,201.0,4063.0,10133.0,15809.0,16808.0,1675.0,18120.0,1453.0,2869.0,93.0,95729.0,1468.0,100459.0,98252.0,1569.0,1035.0,101040.0,1533.0,103517.0,153.0,1407.0,106310.0,106389.0,44.0,71.0,474.0,419.0,3214.0,19.0,3260.0,89.0,417.0,387.0,1134.0,471.0,1773.0,538.0,224.0,748.0,704.0,242.0,869.0,4202.0,5359.0,6732.0,11012.0,22.0,4729.0,3586.0,1182.0,913.0,56.0,2671.0,20.0,164.0,4650.0,270.0,277.0,339.0,59.0,53.0,68.0,381.0,3262.0,1164.0,812.0,8.0,37.0,0.0,95.0,432.0,121.0,1487.0,227.0,7234.0,7099.0,7630.0,1799.0,18855.0,3953.0,2155.0,18010.0,36865.0,36865.0,36865.0,36865.0,11.0,146608.0,60.0,76.0,26.0,30.0,335.0,538.0,148752.0,4951.0,146519.0,1021.0,412.0,769.0,149029.0
