, KOOTENAI - LIBBY DAM, KOOTENAI - AT LEONIA, NF FLATHEAD - NEAR COLUMBIA FALLS, MF FLATHEAD - NEAR WEST GLACIER, SF FLATHEAD - HUNGRY HORSE DAM, FLATHEAD - AT COLUMBIA FALLS, CLARK FORK - AT DEER LODGE, CLARK FORK - NR DRUMMOND, ROCK CREEK - NEAR CLINTON, BLACKFOOT - NEAR BONNER, CLARK FORK - ABOVE MISSOULA, BITTERROOT - NEAR MISSOULA, CLARK FORK - BELOW MISSOULA, ST. REGIS - NEAR ST. REGIS, CLARK FORK - AT ST REGIS, FLATHEAD - KERR DAM, CLARK FORK - NOXON RAPIDS DAM, CLARK FORK - CABINET GORGE DAM, PRIEST - NEAR PRIEST RIVER, PEND OREILLE - ALBENI FALLS DAM, COEUR D ALENE - COEUR D ALENE LAKE, SPOKANE - AT SPOKANE, SPOKANE - AT LONGLAKE, ST MARIES - NEAR SANTA, COLUMBIA - AT INTL BOUNDARY, KETTLE - AT LAURIER, COLUMBIA - GRAND COULEE DAM, COLUMBIA - CHIEF JOSEPH DAM, OKANOGAN - NEAR TONASKET, METHOW - NEAR PATEROS, COLUMBIA - WELLS DAM, CHELAN - LAKE CHELAN DAM, COLUMBIA - ROCKY REACH DAM, ENTIAT - NEAR ARDENVOIR, WENATCHEE - AT PESHASTIN, COLUMBIA - WANAPUM DAM, COLUMBIA - PRIEST RAPIDS DAM, YAKIMA - KEECHELUS LAKE, KACHESS - KACHESS DAM, YAKIMA - AT EASTON, CLE ELUM - CLE ELUM LAKE, TEANAWAY - BELOW FORKS, YAKIMA - AT UMTANUM, BUMPING - BUMPING LAKE DAM, NACHES - NEAR CLIFFDEL, TIETON - RIMROCK LAKE NEAR RIMROCK, NACHES - NEAR NACHES, YAKIMA - NEAR PARKER, YAKIMA - AT KIONA, HENRYS FORK - ISLAND PARK DAM, FALL RIVER - NEAR CHESTER, HENRYS FORK - AT ST. ANTHONY, TETON - NEAR ST. ANTHONY, HENRYS FORK - AT REXBURG, SNAKE - JACKSON LAKE AT DAM, SNAKE - NEAR JACKSON, SNAKE - NEAR ALPINE, SF SNAKE - PALISADES DAM, SNAKE - NEAR HEISE, WILLOW CREEK - RIRIE DAM, SNAKE - AB EAGLE ROCK NR IDAHO FALLS, SNAKE - NEAR SHELLEY, SNAKE - AT BLACKFOOT, SNAKE - NEAR BLACKFOOT, PORTNEUF - AT POCATELLO, SNAKE - AMERICAN FALLS RESERVOIR, SNAKE - AT MILNER, BRUNEAU - NEAR HOT SPRINGS, SNAKE - BELOW SWAN FALLS, BIG LOST - AT HOWELL RANCH NEAR CHILLY, BIG LOST - MACKAY RESERVOIR NEAR MACKAY, BIG WOOD - AT HAILEY, BIG WOOD - MAGIC DAM, LITTLE WOOD - LITTLE WOOD DAM, OWYHEE - OWYHEE DAM, SF BOISE - ANDERSON RANCH DAM, BOISE - LUCKY PEAK DAM, BOISE - AT GLENWOOD BRIDGE, BOISE - NEAR PARMA, MALHEUR - WARM SPRINGS DAM, MALHEUR - AGENCY VALLEY DAM, BULLY CREEK - BULLY CREEK DAM, MALHEUR - NEAR VALE, NF PAYETTE - CASCADE DAM, DEADWOOD - NEAR LOWMAN, PAYETTE - NEAR EMMETT, WEISER - NEAR WEISER, SNAKE - AT WEISER, SNAKE - BROWNLEE DAM, SALMON - AT WHITEBIRD, GRANDE RONDE - TROY, SNAKE - NEAR ANATONE, CLEARWATER - AT OROFINO, NF CLEARWATER - DWORSHAK DAM, CLEARWATER - AT SPALDING, SNAKE - LOWER GRANITE DAM, SNAKE - LITTLE GOOSE DAM, SNAKE - LOWER MONUMENTAL DAM, SNAKE - ICE HARBOR DAM, WALLA WALLA - NEAR TOUCHET, COLUMBIA - MCNARY DAM, UMATILLA - NEAR GIBBON, UMATILLA - AT PENDLETON, MCKAY CREEK - NEAR PILOT ROCK, UMATILLA - NEAR UMATILLA, NF JOHN DAY - AT MONUMENT, JOHN DAY - AT SERVICE CK, COLUMBIA - JOHN DAY DAM, DESCHUTES - AT MOODY NR BIGGS, COLUMBIA - THE DALLES DAM, KLICKITAT - NEAR PITT, HOOD - NEAR TUCKER BRIDGE, WHITE SALMON - NEAR UNDERWOOD, COLUMBIA - BONNEVILLE DAM
2018-03-13,3007.0,19803.0,627.0,638.0,909.0,12575.0,267.0,648.0,204.0,740.0,1620.0,1245.0,3015.0,326.0,4269.0,14242.0,16936.0,18948.0,1004.0,21296.0,7327.0,6714.0,8958.0,555.0,84303.0,451.0,94646.0,104999.0,1979.0,582.0,107325.0,724.0,109902.0,152.0,1370.0,111775.0,112741.0,181.0,204.0,344.0,488.0,338.0,1402.0,138.0,489.0,327.0,1165.0,2668.0,3766.0,518.0,491.0,1631.0,357.0,1584.0,570.0,1559.0,1850.0,2845.0,7640.0,60.0,7720.0,7820.0,7151.0,7780.0,306.0,9249.0,5380.0,146.0,12233.0,86.0,181.0,144.0,106.0,57.0,1549.0,424.0,1207.0,248.0,907.0,338.0,73.0,96.0,67.0,750.0,88.0,2575.0,1761.0,17506.0,18435.0,5283.0,4814.0,29899.0,7118.0,5011.0,26561.0,55136.0,55136.0,57837.0,57837.0,1236.0,191592.0,553.0,1362.0,352.0,1412.0,1727.0,2211.0,205392.0,5659.0,207680.0,1816.0,1097.0,1296.0,213074.0
2018-03-14,3007.0,20463.0,623.0,687.0,889.0,12572.0,274.0,700.0,225.0,728.0,1644.0,1457.0,3219.0,371.0,4338.0,14195.0,17099.0,19136.0,1080.0,21838.0,8493.0,6599.0,8370.0,718.0,83753.0,499.0,93228.0,104999.0,1939.0,563.0,107708.0,915.0,110290.0,200.0,1831.0,111977.0,111945.0,247.0,275.0,451.0,696.0,627.0,1785.0,218.0,742.0,511.0,1718.0,3047.0,4125.0,518.0,498.0,1654.0,383.0,1573.0,567.0,1524.0,1820.0,2800.0,7607.0,70.0,7856.0,7934.0,7332.0,7890.0,343.0,9391.0,5380.0,159.0,12338.0,86.0,181.0,144.0,111.0,59.0,2953.0,710.0,1671.0,248.0,1024.0,647.0,228.0,510.0,67.0,1032.0,87.0,3314.0,2026.0,18514.0,19352.0,5316.0,6532.0,30565.0,7547.0,7356.0,27191.0,57756.0,57756.0,60942.0,60942.0,1284.0,176278.0,678.0,1715.0,541.0,1410.0,3668.0,3287.0,186189.0,7130.0,189847.0,2511.0,1454.0,1443.0,194735.0
2018-03-15,3008.0,20998.0,618.0,770.0,938.0,12609.0,297.0,901.0,286.0,785.0,1835.0,2223.0,4143.0,538.0,5048.0,14259.0,17627.0,19727.0,1195.0,23306.0,10988.0,6982.0,9082.0,1270.0,84582.0,721.0,94801.0,104999.0,1936.0,565.0,107651.0,1464.0,110347.0,304.0,2477.0,112815.0,112801.0,250.0,287.0,490.0,707.0,640.0,2492.0,194.0,883.0,406.0,2070.0,4449.0,4836.0,545.0,574.0,2025.0,472.0,1738.0,612.0,1610.0,2021.0,3093.0,7589.0,125.0,8014.0,8069.0,7505.0,7999.0,453.0,9622.0,5380.0,225.0,12385.0,85.0,181.0,177.0,168.0,123.0,5256.0,1418.0,2721.0,248.0,1216.0,983.0,507.0,727.0,71.0,1682.0,90.0,4879.0,3220.0,21507.0,22968.0,5813.0,9668.0,34755.0,10751.0,12583.0,31906.0,66661.0,66661.0,71284.0,71284.0,2032.0,184490.0,942.0,2880.0,854.0,2481.0,6928.0,8170.0,196549.0,8070.0,200274.0,2658.0,1453.0,1627.0,204515.0
2018-03-16,3072.0,22027.0,616.0,863.0,1187.0,12668.0,317.0,1328.0,341.0,996.0,2498.0,3006.0,5556.0,733.0,6678.0,14485.0,19307.0,21607.0,1255.0,24336.0,12567.0,7407.0,9552.0,1269.0,86165.0,756.0,96860.0,104999.0,2090.0,652.0,107716.0,1017.0,110376.0,255.0,1932.0,112389.0,112412.0,210.0,227.0,395.0,526.0,422.0,2137.0,164.0,820.0,362.0,1774.0,4094.0,5582.0,579.0,554.0,2126.0,523.0,2106.0,669.0,1604.0,2102.0,3390.0,7592.0,89.0,8241.0,8254.0,7662.0,8085.0,463.0,9780.0,5380.0,283.0,12465.0,84.0,180.0,179.0,244.0,96.0,6263.0,1091.0,2690.0,248.0,1053.0,649.0,321.0,494.0,76.0,1031.0,95.0,5423.0,2430.0,22685.0,26374.0,6588.0,7597.0,34962.0,15947.0,14902.0,38135.0,73096.0,73096.0,76939.0,76939.0,1996.0,195209.0,837.0,2306.0,737.0,2840.0,5323.0,7302.0,210777.0,7583.0,214342.0,2240.0,1194.0,1492.0,219192.0
2018-03-17,3199.0,22400.0,611.0,906.0,1128.0,12690.0,316.0,1223.0,274.0,1057.0,2766.0,2465.0,5251.0,661.0,7264.0,14493.0,20926.0,23432.0,1272.0,25522.0,11757.0,7834.0,9658.0,790.0,86765.0,719.0,97883.0,104999.0,2454.0,688.0,107927.0,823.0,110519.0,206.0,1607.0,112131.0,112133.0,198.0,209.0,362.0,470.0,388.0,1833.0,147.0,775.0,351.0,1674.0,3417.0,5484.0,564.0,545.0,1998.0,474.0,2230.0,605.0,1580.0,1956.0,3201.0,7586.0,82.0,8594.0,8591.0,7950.0,8281.0,441.0,9921.0,5380.0,293.0,12481.0,84.0,180.0,166.0,349.0,85.0,4062.0,773.0,2504.0,248.0,1011.0,416.0,198.0,323.0,75.0,819.0,91.0,4416.0,1789.0,21493.0,26166.0,6897.0,5569.0,33271.0,15977.0,12558.0,37783.0,71054.0,71054.0,73892.0,73892.0,1529.0,195393.0,674.0,1583.0,542.0,2006.0,3459.0,4866.0,209785.0,7429.0,213689.0,2032.0,990.0,1385.0,218853.0
2018-03-18,3255.0,22082.0,605.0,897.0,1121.0,12644.0,319.0,1067.0,231.0,1012.0,2510.0,2089.0,4599.0,594.0,6463.0,14345.0,21007.0,23545.0,1272.0,25847.0,10244.0,8292.0,9943.0,647.0,86164.0,709.0,97502.0,104999.0,2580.0,686.0,108266.0,781.0,110831.0,188.0,1548.0,112342.0,112330.0,195.0,210.0,368.0,468.0,400.0,1754.0,139.0,757.0,347.0,1666.0,3103.0,4929.0,560.0,538.0,1972.0,469.0,2135.0,580.0,1567.0,1917.0,3102.0,7571.0,82.0,8635.0,8657.0,8174.0,8471.0,416.0,10109.0,5380.0,283.0,12452.0,84.0,176.0,161.0,465.0,82.0,2238.0,685.0,2429.0,248.0,976.0,298.0,140.0,209.0,63.0,730.0,89.0,3740.0,1462.0,20161.0,24349.0,6977.0,4839.0,32506.0,13404.0,10986.0,33950.0,66456.0,66456.0,68691.0,68691.0,1224.0,189646.0,561.0,1205.0,419.0,1435.0,2511.0,3484.0,201940.0,7708.0,206231.0,1964.0,850.0,1336.0,211210.0
2018-03-19,3277.0,21733.0,598.0,877.0,1060.0,12574.0,318.0,956.0,223.0,971.0,2311.0,1995.0,4306.0,545.0,5944.0,14200.0,20259.0,22713.0,1265.0,25006.0,8998.0,8547.0,10336.0,607.0,86543.0,702.0,98179.0,106964.0,2399.0,685.0,110174.0,745.0,112574.0,180.0,1530.0,113830.0,113739.0,189.0,204.0,368.0,441.0,371.0,1746.0,130.0,735.0,334.0,1602.0,2967.0,4523.0,556.0,530.0,1927.0,465.0,2090.0,571.0,1560.0,1897.0,3074.0,7567.0,80.0,8581.0,8583.0,8146.0,8400.0,393.0,10108.0,5380.0,281.0,12419.0,84.0,173.0,158.0,585.0,81.0,1468.0,663.0,2367.0,248.0,942.0,242.0,116.0,140.0,56.0,683.0,87.0,3416.0,1268.0,19385.0,22695.0,6984.0,4459.0,32214.0,11696.0,10075.0,31445.0,63659.0,63659.0,65573.0,65573.0,1059.0,185392.0,473.0,985.0,331.0,1153.0,2235.0,3031.0,195935.0,7497.0,199867.0,1887.0,755.0,1311.0,204348.0
2018-03-20,3273.0,20629.0,596.0,852.0,1029.0,12503.0,315.0,868.0,214.0,944.0,2170.0,1834.0,4004.0,492.0,5570.0,13999.0,19815.0,22220.0,1261.0,24541.0,8027.0,7481.0,9381.0,555.0,85954.0,700.0,96856.0,105149.0,2186.0,673.0,108615.0,692.0,111520.0,166.0,1478.0,113422.0,113537.0,183.0,199.0,365.0,404.0,335.0,1692.0,121.0,702.0,326.0,1489.0,2754.0,4276.0,551.0,514.0,1871.0,452.0,2039.0,566.0,1546.0,1870.0,3034.0,7564.0,78.0,8577.0,8571.0,8115.0,8293.0,371.0,9957.0,5380.0,283.0,12395.0,84.0,169.0,157.0,590.0,79.0,1237.0,616.0,2301.0,248.0,909.0,186.0,107.0,96.0,51.0,632.0,86.0,3223.0,1134.0,18911.0,21475.0,6932.0,4141.0,31997.0,10447.0,9083.0,29631.0,61628.0,61830.0,63559.0,63559.0,922.0,183863.0,394.0,782.0,261.0,947.0,1849.0,2630.0,193580.0,7102.0,197027.0,1797.0,694.0,1275.0,201119.0
2018-03-21,3268.0,16069.0,589.0,829.0,1004.0,12429.0,311.0,818.0,207.0,914.0,2051.0,1739.0,3790.0,444.0,5212.0,13825.0,19436.0,21801.0,1256.0,24318.0,7273.0,6570.0,8361.0,508.0,85321.0,703.0,95138.0,101843.0,2037.0,649.0,104902.0,654.0,107655.0,157.0,1456.0,109477.0,109616.0,181.0,200.0,379.0,395.0,326.0,1654.0,116.0,682.0,313.0,1421.0,2539.0,4037.0,545.0,495.0,1797.0,437.0,1960.0,560.0,1531.0,1847.0,2985.0,7548.0,77.0,8555.0,8549.0,8110.0,8220.0,354.0,9824.0,5380.0,274.0,12362.0,83.0,165.0,155.0,517.0,77.0,1068.0,574.0,2252.0,211.0,869.0,170.0,104.0,68.0,48.0,610.0,84.0,3100.0,1035.0,18585.0,20653.0,6824.0,3917.0,31824.0,9310.0,8438.0,28126.0,59950.0,60761.0,62376.0,62376.0,819.0,179981.0,354.0,664.0,230.0,779.0,1634.0,2326.0,189610.0,6863.0,192932.0,1726.0,742.0,1309.0,197138.0
2018-03-22,3246.0,15597.0,581.0,809.0,980.0,12354.0,310.0,812.0,203.0,882.0,1981.0,1729.0,3710.0,405.0,5002.0,13656.0,19150.0,21486.0,1249.0,23916.0,6912.0,6081.0,7736.0,456.0,84830.0,691.0,93965.0,100452.0,1929.0,626.0,103287.0,617.0,105952.0,149.0,1411.0,107548.0,107613.0,175.0,190.0,364.0,359.0,288.0,1621.0,107.0,651.0,301.0,1294.0,2328.0,3779.0,542.0,477.0,1728.0,424.0,1859.0,556.0,1522.0,1829.0,2942.0,7528.0,75.0,8493.0,8479.0,8070.0,8118.0,343.0,9686.0,5380.0,264.0,12324.0,82.0,161.0,154.0,452.0,76.0,1043.0,553.0,2219.0,143.0,786.0,159.0,101.0,49.0,46.0,578.0,83.0,3022.0,953.0,18328.0,20088.0,6686.0,3816.0,31722.0,8423.0,7786.0,26952.0,58674.0,59485.0,61025.0,61025.0,749.0,175043.0,327.0,597.0,261.0,661.0,1577.0,2206.0,184133.0,6712.0,187285.0,1653.0,797.0,1328.0,191490.0
2018-03-23,3229.0,13849.0,577.0,787.0,957.0,12280.0,307.0,796.0,201.0,856.0,1937.0,1692.0,3629.0,386.0,4901.0,13521.0,19028.0,21354.0,1267.0,24079.0,6735.0,5712.0,7270.0,535.0,84082.0,684.0,92801.0,99171.0,1834.0,605.0,101883.0,608.0,104556.0,150.0,1463.0,106185.0,106242.0,204.0,209.0,383.0,420.0,334.0,1580.0,117.0,636.0,309.0,1245.0,2085.0,3533.0,542.0,458.0,1650.0,426.0,1746.0,553.0,1533.0,1830.0,2930.0,7512.0,79.0,8409.0,8380.0,7993.0,7981.0,359.0,9505.0,5380.0,277.0,12300.0,82.0,158.0,153.0,463.0,75.0,1751.0,623.0,2235.0,77.0,684.0,167.0,104.0,37.0,34.0,761.0,84.0,2965.0,909.0,18045.0,19620.0,6559.0,3723.0,31679.0,7831.0,7764.0,26271.0,57950.0,58761.0,60245.0,60245.0,721.0,172023.0,365.0,595.0,291.0,583.0,1629.0,2209.0,180665.0,6618.0,183643.0,1599.0,945.0,1405.0,187716.0
2018-03-24,3207.0,13878.0,570.0,770.0,945.0,12209.0,307.0,826.0,204.0,834.0,1915.0,1806.0,3721.0,404.0,4998.0,13439.0,19176.0,21523.0,1302.0,24568.0,7304.0,6118.0,7448.0,686.0,83483.0,710.0,92394.0,98479.0,1741.0,587.0,100987.0,679.0,103592.0,175.0,1584.0,105226.0,105248.0,232.0,230.0,417.0,489.0,424.0,1685.0,146.0,671.0,325.0,1323.0,2064.0,3342.0,542.0,453.0,1633.0,428.0,1672.0,552.0,1548.0,1848.0,2960.0,7517.0,84.0,8331.0,8283.0,7897.0,7869.0,374.0,9363.0,5380.0,312.0,12310.0,82.0,154.0,154.0,625.0,80.0,2753.0,723.0,2281.0,36.0,598.0,252.0,140.0,30.0,29.0,846.0,92.0,3037.0,952.0,17934.0,19358.0,6519.0,3733.0,31687.0,7932.0,8446.0,26368.0,58055.0,58866.0,60306.0,60306.0,832.0,170220.0,443.0,711.0,373.0,585.0,1869.0,2417.0,178674.0,6582.0,181557.0,1685.0,1259.0,1493.0,185805.0
2018-03-25,3212.0,14029.0,560.0,752.0,980.0,12165.0,306.0,857.0,217.0,823.0,1946.0,1815.0,3761.0,436.0,5162.0,13373.0,19591.0,21995.0,1337.0,25103.0,8221.0,7027.0,8276.0,702.0,82717.0,744.0,92378.0,98261.0,1681.0,603.0,100661.0,720.0,103267.0,193.0,1643.0,104934.0,104944.0,255.0,245.0,433.0,511.0,456.0,1838.0,141.0,728.0,332.0,1402.0,2237.0,3307.0,542.0,447.0,1618.0,431.0,1643.0,556.0,1557.0,1865.0,3007.0,7529.0,86.0,8321.0,8250.0,7840.0,7799.0,380.0,9258.0,5380.0,324.0,12315.0,82.0,151.0,158.0,731.0,86.0,2584.0,772.0,2291.0,31.0,548.0,308.0,174.0,24.0,25.0,854.0,104.0,3129.0,1083.0,18079.0,19486.0,6583.0,4011.0,32099.0,8375.0,8807.0,26840.0,58939.0,59750.0,61142.0,61142.0,963.0,170093.0,505.0,876.0,439.0,713.0,2157.0,2765.0,178577.0,6627.0,181421.0,1730.0,1386.0,1537.0,185910.0
2018-03-26,3248.0,14144.0,549.0,746.0,1014.0,12147.0,306.0,860.0,225.0,821.0,1978.0,1784.0,3761.0,454.0,5253.0,13343.0,19797.0,22233.0,1365.0,25368.0,8757.0,7658.0,8989.0,696.0,82732.0,776.0,93043.0,98523.0,1678.0,641.0,100862.0,672.0,103436.0,201.0,1658.0,105053.0,105040.0,271.0,254.0,436.0,530.0,466.0,1910.0,140.0,765.0,334.0,1410.0,2348.0,3410.0,542.0,439.0,1593.0,435.0,1619.0,556.0,1565.0,1873.0,3044.0,7541.0,90.0,8347.0,8261.0,7841.0,7789.0,389.0,9248.0,5380.0,315.0,12332.0,82.0,147.0,158.0,786.0,91.0,1998.0,811.0,2397.0,30.0,520.0,337.0,180.0,21.0,18.0,865.0,110.0,3208.0,1187.0,18264.0,19787.0,6744.0,4171.0,32579.0,8689.0,8980.0,27150.0,59729.0,60540.0,61896.0,61896.0,1067.0,170890.0,547.0,996.0,424.0,887.0,2211.0,2943.0,179706.0,6653.0,182551.0,1742.0,1427.0,1544.0,187101.0
2018-03-27,3286.0,14228.0,543.0,759.0,1043.0,12150.0,306.0,859.0,228.0,821.0,1983.0,1764.0,3747.0,466.0,5281.0,13386.0,19924.0,22384.0,1404.0,25892.0,8945.0,7898.0,9288.0,707.0,82625.0,805.0,93264.0,98649.0,1700.0,676.0,101033.0,657.0,103634.0,204.0,1690.0,105308.0,105302.0,294.0,271.0,484.0,576.0,519.0,1958.0,155.0,789.0,340.0,1397.0,2350.0,3505.0,541.0,435.0,1576.0,444.0,1594.0,554.0,1576.0,1883.0,3061.0,7552.0,92.0,8376.0,8275.0,7862.0,7805.0,396.0,9312.0,5380.0,309.0,12415.0,81.0,143.0,159.0,818.0,97.0,1799.0,832.0,2508.0,30.0,498.0,341.0,179.0,19.0,12.0,879.0,118.0,3265.0,1211.0,18388.0,20095.0,6886.0,4251.0,33053.0,8983.0,9055.0,25095.0,58148.0,58959.0,60425.0,60425.0,1127.0,171457.0,566.0,1080.0,397.0,997.0,2211.0,2939.0,180648.0,6672.0,183541.0,1814.0,1548.0,1608.0,188303.0
2018-03-28,3336.0,14329.0,533.0,785.0,1076.0,12168.0,306.0,873.0,231.0,832.0,2002.0,1765.0,3767.0,476.0,5344.0,13482.0,20029.0,22508.0,1455.0,26613.0,9164.0,8095.0,9454.0,738.0,82809.0,832.0,93552.0,98744.0,1719.0,708.0,101150.0,643.0,103733.0,205.0,1702.0,105408.0,105400.0,293.0,276.0,497.0,604.0,538.0,2078.0,154.0,818.0,349.0,1411.0,2421.0,3537.0,542.0,432.0,1567.0,442.0,1581.0,553.0,1582.0,1890.0,3079.0,7561.0,93.0,8406.0,8290.0,7884.0,7823.0,397.0,9383.0,5380.0,309.0,12522.0,80.0,139.0,162.0,816.0,100.0,1766.0,816.0,2613.0,30.0,480.0,341.0,181.0,18.0,8.0,880.0,125.0,3281.0,1216.0,18498.0,20355.0,7014.0,4225.0,33375.0,9229.0,9333.0,23702.0,57077.0,57888.0,59739.0,59739.0,1236.0,169598.0,605.0,1166.0,367.0,1088.0,2229.0,3001.0,178928.0,6698.0,181909.0,1846.0,1610.0,1657.0,187054.0
2018-03-29,3374.0,14385.0,525.0,808.0,1095.0,12186.0,303.0,875.0,229.0,842.0,2026.0,1753.0,3779.0,483.0,5395.0,13573.0,20170.0,22673.0,1494.0,26792.0,9333.0,8292.0,9665.0,774.0,83070.0,865.0,94114.0,99165.0,1731.0,741.0,101606.0,632.0,104175.0,206.0,1721.0,105834.0,105813.0,314.0,291.0,497.0,631.0,540.0,2118.0,167.0,842.0,352.0,1398.0,2466.0,3589.0,541.0,430.0,1553.0,438.0,1564.0,550.0,1587.0,1894.0,3094.0,7564.0,93.0,8442.0,8311.0,7910.0,7845.0,402.0,9454.0,5380.0,304.0,12587.0,80.0,135.0,163.0,776.0,103.0,1692.0,805.0,2705.0,29.0,457.0,326.0,175.0,16.0,4.0,844.0,126.0,3289.0,1130.0,18561.0,20529.0,7097.0,4154.0,33492.0,9514.0,9504.0,24998.0,58490.0,59300.0,61201.0,61201.0,1387.0,170629.0,611.0,1192.0,334.0,1135.0,2120.0,2887.0,179603.0,6720.0,182500.0,1795.0,1630.0,1676.0,187534.0
2018-03-30,3400.0,14435.0,514.0,831.0,1109.0,12201.0,302.0,874.0,227.0,842.0,2020.0,1771.0,3791.0,493.0,5435.0,13640.0,20263.0,22784.0,1540.0,27312.0,9568.0,8479.0,9806.0,773.0,83061.0,899.0,94322.0,99254.0,1737.0,773.0,101751.0,636.0,104353.0,209.0,1754.0,106092.0,106086.0,335.0,304.0,499.0,670.0,585.0,2147.0,185.0,913.0,364.0,1435.0,2448.0,3634.0,541.0,428.0,1528.0,435.0,1533.0,546.0,1579.0,1882.0,3085.0,7563.0,96.0,8465.0,8321.0,7935.0,7866.0,410.0,9529.0,5380.0,301.0,12608.0,80.0,132.0,165.0,740.0,105.0,1661.0,820.0,2808.0,29.0,435.0,321.0,173.0,16.0,1.0,881.0,128.0,3258.0,1145.0,18609.0,20589.0,7139.0,4092.0,33552.0,9534.0,9560.0,27040.0,60592.0,61403.0,63328.0,63328.0,1378.0,173610.0,627.0,1219.0,337.0,1156.0,2113.0,2832.0,182193.0,6740.0,185025.0,1877.0,1754.0,1740.0,189938.0
2018-03-31,3482.0,14611.0,506.0,880.0,1210.0,12238.0,302.0,889.0,242.0,842.0,2035.0,1738.0,3774.0,522.0,5498.0,13749.0,20428.0,22975.0,1592.0,27691.0,10184.0,8967.0,10240.0,830.0,82377.0,951.0,94688.0,99525.0,1746.0,812.0,102060.0,715.0,104657.0,219.0,1962.0,106529.0,106502.0,375.0,339.0,564.0,780.0,667.0,2242.0,207.0,956.0,372.0,1492.0,2559.0,3652.0,521.0,429.0,1498.0,447.0,1543.0,546.0,1582.0,1885.0,3088.0,7560.0,100.0,8462.0,8308.0,7927.0,7861.0,414.0,9591.0,5380.0,302.0,12608.0,80.0,127.0,169.0,724.0,113.0,1778.0,868.0,2936.0,29.0,412.0,334.0,180.0,16.0,0.0,870.0,136.0,3295.0,1196.0,18698.0,20677.0,7205.0,4217.0,33736.0,9653.0,9960.0,27223.0,60959.0,61769.0,63754.0,63754.0,1375.0,174717.0,647.0,1234.0,310.0,1161.0,2146.0,2889.0,183674.0,6802.0,186658.0,1926.0,1892.0,1768.0,192042.0
2018-04-01,3638.0,14654.0,499.0,954.0,1346.0,11878.0,302.0,897.0,268.0,865.0,2094.0,1687.0,3781.0,555.0,5566.0,13870.0,20650.0,23231.0,1642.0,27747.0,11429.0,10209.0,11360.0,848.0,79492.0,1012.0,92932.0,97133.0,1763.0,867.0,99989.0,802.0,102907.0,237.0,2037.0,105339.0,105454.0,402.0,364.0,572.0,862.0,703.0,2469.0,225.0,983.0,378.0,1538.0,2756.0,3722.0,462.0,430.0,1474.0,465.0,1660.0,549.0,1601.0,1914.0,3127.0,7565.0,108.0,8530.0,8336.0,7899.0,7826.0,419.0,9607.0,5380.0,299.0,12596.0,80.0,123.0,175.0,729.0,122.0,1859.0,934.0,3049.0,29.0,390.0,358.0,194.0,16.0,1.0,877.0,147.0,3351.0,1139.0,18727.0,20746.0,7312.0,4511.0,34186.0,10049.0,10636.0,27598.0,61784.0,62595.0,64449.0,64449.0,1359.0,175560.0,657.0,1266.0,290.0,1165.0,2228.0,2960.0,184553.0,6881.0,187607.0,1889.0,1879.0,1741.0,193135.0
2018-04-02,3814.0,12000.0,499.0,1023.0,1459.0,9556.0,301.0,900.0,294.0,912.0,2178.0,1662.0,3841.0,575.0,5657.0,12864.0,20853.0,23467.0,1689.0,27951.0,11837.0,10864.0,12210.0,837.0,78986.0,1070.0,93038.0,95916.0,1791.0,935.0,98593.0,777.0,100990.0,245.0,2003.0,103091.0,103137.0,398.0,365.0,545.0,881.0,682.0,2506.0,212.0,999.0,374.0,1588.0,2890.0,3889.0,468.0,444.0,1491.0,491.0,1645.0,552.0,1618.0,1939.0,3197.0,7570.0,112.0,8607.0,8419.0,7979.0,7890.0,430.0,9674.0,6785.0,290.0,12573.0,80.0,121.0,179.0,712.0,128.0,1834.0,976.0,3147.0,28.0,370.0,391.0,201.0,16.0,1.0,918.0,157.0,3369.0,1113.0,18715.0,20770.0,7434.0,4611.0,34549.0,10559.0,10945.0,28068.0,62617.0,63428.0,65102.0,65102.0,1320.0,174287.0,648.0,1295.0,288.0,1201.0,2385.0,3148.0,183751.0,6925.0,186933.0,1811.0,1741.0,1682.0,192474.0
2018-04-03,3983.0,8389.0,537.0,1057.0,1525.0,8965.0,298.0,881.0,320.0,962.0,2253.0,1688.0,3941.0,585.0,5805.0,11109.0,21045.0,23689.0,1738.0,28298.0,11685.0,10779.0,12199.0,807.0,78494.0,1123.0,92539.0,95433.0,1824.0,983.0,98240.0,733.0,100465.0,253.0,2035.0,102586.0,102611.0,395.0,364.0,537.0,823.0,643.0,2456.0,205.0,1004.0,372.0,1566.0,2817.0,4031.0,474.0,457.0,1535.0,513.0,1679.0,557.0,1636.0,1957.0,3252.0,7578.0,110.0,8618.0,8410.0,7976.0,7898.0,437.0,9785.0,11000.0,288.0,12617.0,79.0,118.0,180.0,644.0,132.0,1833.0,956.0,3233.0,28.0,353.0,450.0,200.0,16.0,3.0,960.0,162.0,3395.0,1079.0,18683.0,20793.0,7491.0,4440.0,34558.0,10934.0,11194.0,28443.0,63001.0,63001.0,64606.0,64606.0,1234.0,173020.0,616.0,1252.0,272.0,1198.0,2325.0,3202.0,182492.0,6899.0,185621.0,1791.0,1578.0,1653.0,190884.0
